frag_id,kind,share_code_or_source,owner,folder_or_date,filename,size,file_type,source_url,archive_url,source_date,proves,confidence,survives_publicly
P01,share,s/1eQIvAOM,gijj1986（uk 3859185200）,录像盘根（推定）,——,——,folder-share,https://tieba.baidu.com/p/4008992989,——,2015-08-30 16:32（贴出）,2015-08 录像盘被举报封禁后的替换分享；「原来的那个被举报封掉了」→ 此前还有一个码未知的原盘,high,否（链接不存在；页面仍返回 uk）
P02,share,s/1hq6NYbM,gijj1986,录像盘根（推定）,——,——,folder-share,https://tieba.baidu.com/p/4079886537,——,创建 2015-09-26 10:20:35；2015-10-21 贴出,Iam左丞相：「每一天的录像都会及时地上传到百度云盘，从1.29以后的录像除因版权问题被删除的外其余的都有……以后明天的录像会在这里更新」——一个持续追加的日更目录，起点 2015-01-29,high,否
P03,share,s/1mgB3ucw,gijj1986,录像盘根（推定）,——,——,folder-share,https://tieba.baidu.com/p/4163497613,——,创建 2015-11-15 14:05:31；11-16、12-08 贴出,文件夹型分享（其后加入的【11.16文件夹】可见）；卡斯0特罗 12-08 用它回答「哪里能看直播录像」,high,否
P04,folder,s/1mgB3ucw,gijj1986,11.16/,——,——,date-folder,https://tieba.baidu.com/p/4163497613,——,2015-11-16 20:15,「歌曲在百度网盘【11.16文件夹】里」——录像盘按「月.日」建日期文件夹（无年份、无前导零）,high,否
P05,file,s/1mgB3ucw,gijj1986,2015-11-15（上午古墓）,古墓丽影10-2.flv,316.9 MB,flv,https://tieba.baidu.com/p/4163652292,https://imgsrc.baidu.com/forum/pic/item/add88382d158ccbf19b172d31fd8bc3eb03541d4.jpg,分享时间 2015-11-15 14:05（截图）,命名＝「游戏名[作品序号]-段号.flv」，段号由录制软件断线重开产生；画面叠字「游戏：古墓丽影，崛起　平台：Xbox」；分享页显示该账号「2 分享 / 578 粉丝」,high,否
P06,account,share/home?uk=3859185200,gijj1986,账号分享主页,——,——,share-home,https://tieba.baidu.com/p/4363800336,https://web.archive.org/web/20160912123150/http://www.nvliu66.com:80/,2016-09-07（葵kiss 贴出）；粉丝站「录像下载」2016-09 / 2017-04 快照,粉丝站与吧务把「录像下载」直接指向账号分享主页；分享主页本身 Wayback 无抓取,high,否（主页需登录；无存档）
P07,folder,share/home?uk=3859185200,gijj1986,潜伏赤途/,——,——,topic-folder,https://tieba.baidu.com/p/4363800336,——,2016-09-29 楼中楼,2015-04 的赤途在盘内单独成夹且有结局；吧友问「2015 4.14日的补全」，答「已经补全了……链接里第二页」→ 分享主页至少两页,high,否
P08,share,s/1pZdNo,gijj1986,2015-07-22,——（「女流视角」整场）,——,share,https://tieba.baidu.com/p/3912648219,——,2015-07-23 02:04（贴出）,07-22 风之旅人女流视角整场以单独分享发出，「要自己下载」；次日葵kiss：「看首页，有网盘链接，关注这网盘，他会即时更新的」,high,否
P09,statement,贴吧 p/3912716113 楼中楼,葵kiss😘,——,——,——,——,https://tieba.baidu.com/p/3912716113,——,2015-07-22～23,2015 年的分发＝QQ「斗鱼粉丝群」群文件＋置顶帖里的网盘，读者「关注这网盘」订阅更新,high,——
P10,statement,贴吧 p/3581282338 楼中楼,嬴稷🐯,——,——,——,——,https://tieba.baidu.com/p/3581282338,——,2015-02-12 12:52,「如果错过了直播……可以去群里询问，有专人负责录制每一期直播的视频」——2015-02 已有专人逐场录制,high,——
P11,thread,贴吧 p/3561749699,Iam左丞相,2015-01-29～30,——,——,thread,https://tieba.baidu.com/p/3561749699,——,2015-02-01 17:10,《66斗鱼直播录像高清完整版下载》；除 1 楼外楼层已删，6 楼「补上30号没看的」→ 首批分发的是 01-29／01-30,high,否（楼层已删）
P12,statement,贴吧 p/4034179506,葵kiss😘 / 开心哈基米,——,——,——,flv,https://tieba.baidu.com/p/4034179506,——,2015-09-10～11,录制工具＝斗鱼小助手（崩溃时换其它软件，「录像组动用黑科技已成功修复」）,high,——
P13,statement,贴吧 p/4161836144,guanyanwen121,2015-11-15,——,——,——,https://tieba.baidu.com/p/4161836144,——,2015-11-15 22:07,2015 年录像不含弹幕（「直播录像好是好 就是没有弹幕了」；「录像是吧主录的么」）,high,——
P14,share,s/1jIJhhnK,沈锋Ashen（ardea1347，uk 3406207715）,2015.6.29之前的录像/,——,——,folder-share,https://tieba.baidu.com/p/4363800336,——,创建 2016-10-23 02:33:05；次日贴出,2015 年被切成以 6.29 为界的两个合集，前半＝01-29～06-28；2018-08 有人说其中找不到奇异人生（06-23/24 那场）,high,否
P15,share,s/1eSB54I2,沈锋Ashen,2015年6月29以后直播录像/（＝「15年下半年」）,——,——,folder-share,https://tieba.baidu.com/p/5701625222,——,创建 2017-12-29 20:33:20,葵kiss 2018-05-16：「15年6月29日到7月底之间的录播……15年下半年那个里面就有啊」,high,否
P16,share,s/1qY4ghcS,沈锋Ashen,——,「2015、2016年节目表」,——,schedule,https://tieba.baidu.com/p/4363800336,——,创建 2017-01-10 10:56:38,吧友 2017-02：「网盘的节目表包括15年的记录」；沈锋据此答出 2015.03.18/21（奥日）、2015.10.20（鸟的故事，与档案一致）,high,否
P17,share,s/1pL97MYJ,沈锋Ashen,——,书单（截止 2016.12.31）,——,list,https://tieba.baidu.com/p/4363800336,——,创建 2017-01-10 10:54:41,——,high,否
P18,share,s/1kUFPaz9,沈锋Ashen,——,直播节目表＆书单,——,schedule,https://tieba.baidu.com/p/5701625222,——,创建 2018-01-01 21:42:30,「直播节目表&书单(感谢婶婶整理)」；婶婶＝沈锋（谐音；见 P19 文件名）,high,否
P19,share,s/1E1ANiUmBX3zoIcVHjfVyNQ（提取码在原帖公开）,木目君-（uk 842738246；脱敏名 我也**目君）,统计/,直播节目单截止2019.12.31（沈锋整理）.xls,178176 B,xls,https://tieba.baidu.com/p/7462927624,——,2021-07-24 19:20 贴出；文件修改 2020-09-01,**沈锋节目单的公开存活副本**。按沈锋 2017 年的说法包含 2015 年逐日记录——可能直接回答 2015 缺口的每一天；本轮只取得目录，未取得文件内容,high（存在）／unknown（内容）,是（分享在线；提取码为发帖人公开给出）
P20,share,s/1E1ANiUmBX3zoIcVHjfVyNQ,木目君-,统计/,那些书与影视，随缘更新截止2018.12.31（沈锋）.xls,76800 B,xls,https://tieba.baidu.com/p/7462927624,——,同上,书单与影视记录，与直播日期关系小,high,是
P21,share,s/1nveXrap,gijj1986,录像盘根（推定）,——,——,folder-share,https://web.archive.org/web/2016/http://www.nvliu66.com/,——,创建 2016-05-22 22:37:42,同日 20:29 吧友问「百度网盘里的斗鱼录像怎么没了」、20:53 葵kiss「录像师傅在重新弄」，两小时后生成新分享——录像盘每次失效都是整盘重新分享,high,否
P22,share,s/1skG6ayL,gijj1986,录像盘根（推定）,——,——,folder-share,（task-048：粉丝站 2016-07 快照）,——,创建 2016-07-26 22:31:12,同上，2016-07 的重分享,high,否
P23,share,s/1gfHpj39,gijj1986,2017/,——,——,folder-share,https://tieba.baidu.com/p/4363800336,——,创建 2016-12-31 18:49:17,「2017年录像百度网盘……感谢暗牧大师傅」,high,否
P24,share,2016 月度 9 码＋s/130_XKjBl-dxVnVaQTRL5MQ＋s/1boIM5nL＋s/1qYUievE,gijj1986,2016 各月／2017／2018,——,——,folder-share,https://tieba.baidu.com/p/5701625222,——,月度 9 码同在 2017-07-26 07:54～07:55 创建,2016 起按月建文件夹（吧友 2016-09-07「原来新开了个九月份的文件夹」）；不属 2015，仅用于推断命名习惯,high,否
P25,file,贴吧 p/5058150632,gijj1986 盘（2017 盘）,2017-04-04 / 2017-04-03,炸弹人+塞尔达.flv；塞尔达.flv,7.2 GB；8.3 GB,flv,https://tieba.baidu.com/p/5058150632,——,2017-04-05,同一习惯的延续：文件名只有游戏名（一天多个游戏用「+」连接），日期靠所在文件夹,high,否
P26,file,贴吧 p/5152499067,gijj1986 盘（2017 盘）,2017-05-22,缺氧-2.flv,——,flv,https://tieba.baidu.com/p/5152499067,——,2017-06-08,「网盘里面的第二段（缺氧-2.flv）」——「-N」是同一天的第 N 段,high,否
P27,statement,贴吧 p/4363800336 楼中楼,梦缘系1 等,2016 起,——（视频＋.ass 弹幕）,——,flv+ass,https://tieba.baidu.com/p/4363800336,——,2016-09～2018-02,2016 年起每场是「视频＋弹幕（.ass）」两个文件；2015 年无弹幕文件（见 P13）,high,——
