lead_id,name_alias,platform,account_id,profile_url,status_2026_09,linked_accounts,evidence_link_to_nvliu_or_group,relevant_dates,filenames_or_links,resource_accessible,confidence,best_public_lead
N01,Iam左丞相,tieba,uid 868802489（用户名 Iam左丞相）,https://tieba.baidu.com/home/main?un=Iam%E5%B7%A6%E4%B8%9E%E7%9B%B8,账号在；主页设为隐私，公开帖子不可列,自称录像组负责人；其贴出的录像网盘属 N02（gijj1986）；与 N09 苏林绘的关系未证实,p/3561749699 #1 2015-02-01 17:10 开《66斗鱼直播录像高清完整版下载》（6 楼 02-02「补上30号没看的」）；p/3928009915 #4 2015-07-29「新视频已经发出来了，那个带密码的没完工，有的地方音画不同步」（风之旅人合并版）；p/4079886537 #13 2015-10-03 20:27「我是丞相，想来录像组吗？」＋楼中楼「未经女王本人允许，请不要把节目录像发布到视频网站上」；10-21 楼中楼「每一天的录像都会及时地上传到百度云盘，从1.29以后的录像除因版权问题被删除的外其余的都有」＋ s/1hq6NYbM,2015-02-01～2015-10-21,pan.baidu.com/s/1hq6NYbM（归属 N02）,网盘分享已取消,high（录像组组织者，自述）,仅作溯源锚点。公开线索：p/3561749699 下载帖与 p/4079886537 招募帖楼中楼里残留的分享码与文件名
N02,gijj1986（task-045 误写为 gljj1986，已改）,baidu-pan / tieba,百度网盘 uk 3859185200（脱敏名 gi***986）；贴吧 uid 49276464,https://pan.baidu.com/share/home?uk=3859185200,百度账号在；网盘无公开分享；贴吧最后主题帖 2018-02,贴吧头像与网盘头像文件逐字节相同（md5 一致，熊本熊）；「gljj1986」查无此百度用户，gijj1986 存在,2015-11-15 分享页截图（p/4163652292 #2，葵kiss 贴）的分享者＝本号：截图「分享时间 2015-11-15 14:05」与 s/1mgB3ucw 的 ctime 2015-11-15 14:05:31 吻合；录像组滚动更新的网盘都出自本号（2015 年两个 6.29 合集属 N05，录像小屋 2018 的 1eRSk8ro 属 uk 3808695756）：s/1pZdNo（07-22 风之旅人「女流视角」）、s/1eQIvAOM（2015-08-30 替换盘）、s/1hq6NYbM（ctime 2015-09-26，晚于 1eQIvAOM；task-048 原写反）、导航站 s/1nveXrap（ctime 2016-05-22）与 s/1skG6ayL（2016-07-26）、s/1mgB3ucw（含【11.16文件夹】）、2016 年 1～12 月各盘（ctime 均 2017-07-26）、2017 盘 s/1gfHpj39 与 s/1boIM5nL、2018 盘 s/1qYUievE、2016 重分享 s/130_XKjBl-dxVnVaQTRL5MQ（2018-06-19）；葵kiss 2016-09-07 在导航帖直接贴出 share/home?uk=3859185200,2015-07-22～2018-06,古墓丽影10-2.flv（316.9 MB，2015-11-15）；日期文件夹「11.16」；「潜伏赤途」文件夹（2016-09 仍在，据 N03）,全部分享已取消；原文件是否仍在其网盘内未知,high（录像组滚动网盘的存储账号＝「录像师傅」网盘）；2026-09-24 头像 md5 复核一致,仅作溯源锚点。Wayback 已查尽（19 个分享码与 share/home 页都没有抓取）；剩下的只有吧友转贴、截图里残留的文件名
N03,葵kiss😘 ／ 梦缘系1,tieba,uid 177973729（用户名 梦缘系1，显示名 葵kiss😘）,https://tieba.baidu.com/home/main?un=%E6%A2%A6%E7%BC%98%E7%B3%BB1,账号在；最后主题帖 2023-02（非女流吧）,小号 N04 我不是某梦小号（本人 2018-01-01 自述「大号 @梦缘系1」）；优酷「飒小飒_」uid 117833362（简介「贴吧名：梦缘系1」）；B站「飒小飒」mid 2514826（p/3949013305 同帖贴出优酷 XMTMwMjEzOTI3Ng、B站 av2686502、A站 ac2076548，自称「新人up猪」）,2015～2018 女流吧吧务；2015-08-30 贴录像替换盘 s/1eQIvAOM；2015-11-16 贴 gijj1986 分享页截图、歌会帖用 s/1mgB3ucw【11.16文件夹】；2016-02 建导航帖 p/4363800336；2016-09-29 楼中楼：盘内「潜伏赤途」文件夹有结局（哪一年那次原帖没说，见 task-049 §3）；2016-10-24 贴「2015.6.29之前的录像」s/1jIJhhnK（属 N05）；2017-03-07《【公告】置顶pan无限期停更》,2015-01～2018-06,见 N02、N05,——,high（身份关联）；自己的优酷/B站投稿是个人游戏视频，不是女流录像,仅作溯源锚点。公开线索：2015～2018 导航帖的转载与快照；2018 年斗鱼鱼吧导航帖快照
N04,我不是某梦小号,tieba,uid 974262151,https://tieba.baidu.com/home/main?un=%E6%88%91%E4%B8%8D%E6%98%AF%E6%9F%90%E6%A2%A6%E5%B0%8F%E5%8F%B7,账号在；最后主题帖 2018-05,N03 的小号（自述）,p/5500301276「大号 @梦缘系1 的导航帖被屏蔽，大家如果想找网盘链接可以先到鱼吧那边看」；p/5701625222 2018 导航：「2015.6.29之前的录像」s/1jIJhhnK、「2015年6月29以后直播录像」s/1eSB54I2、2016 各月盘、2017/2018 盘、节目表 s/1kUFPaz9；楼中楼「录像师傅在调整」,2018-01～2018-05,同上,全部失效,high,仅作溯源锚点。公开线索：本号自述导航帖被屏蔽后「可以先到鱼吧那边看」→ 查 yuba.douyu.com/nvliu 的 Wayback 快照
N05,沈锋Ashen（现显示名 沈锋字塘进♂）,tieba / baidu-pan,贴吧 uid 37538772（用户名 ardea1347）；百度网盘 uk 3406207715（脱敏名 ar****347）,https://tieba.baidu.com/home/main?un=ardea1347,贴吧仍有发帖（2026-08）；现为吧务,贴吧头像与网盘头像逐字节相同；脱敏名 ar****347 与用户名 ardea1347 吻合,2015 年录像两个合集盘都在本号：s/1jIJhhnK「2015.6.29之前的录像」（ctime 2016-10-23）、s/1eSB54I2「2015年6月29以后」（ctime 2017-12-29）；「2015、2016年节目表」s/1qY4ghcS（ctime 2017-01-10，吧友 2017-01 说「节目表包括15年的记录」）、书单 s/1pL97MYJ、节目表&书单 s/1kUFPaz9；按节目表答过 2015 日期：奥日「2015.03.18、21」（p/5095152029，2017-04-30 本人所答，已核；03-18 据此补登奥日，03-21 未定，见 task-049 §9）、鸟的故事「2015.10.20」（p/5481484534，与档案 2015-10-20-live-01 一致）；2017-04-06 说明录制方式「录像师傅是上班的，是软件自动录制的」；2017-11-07 答「第一次的就别想了」（p/5417340368）；2019-01-25 被问有没有赤途网盘答「没有。那么明星的照片，涉及肖像权也不行」（p/6017049337）,2016-10～2026-08,s/1jIJhhnK、s/1eSB54I2、s/1qY4ghcS、s/1pL97MYJ、s/1kUFPaz9,全部分享已取消；本人仍活跃,high（2015 录像两个合集与 2015 节目表的分享者）；2026-09-24 头像 md5 复核一致,仅作溯源锚点（task-048 曾列为联系对象，已改）。公开线索：他按节目表回答日期的旧帖（p/5095152029 奥日、p/5481484534 鸟的故事，见 task-049 §9）；2016 年版 A站 ac3391576《【年终小报告】》若有 2015 年版即为逐日来源
N06,暗牧,tieba,uid 4084192（显示名 心）,https://tieba.baidu.com/home/main?un=%E6%9A%97%E7%89%A7,账号在；主题帖 1 个,与 N02 的关系未证实（可能是操作 gijj1986 网盘的人，也可能只是 2017 年的录制者）,p/4363800336 #36 2017-01-01 葵kiss：「2017年录像百度网盘……感谢暗牧大师傅，新的一年辛苦了」（该盘 s/1gfHpj39 属 N02）,2017,s/1gfHpj39,已取消,medium-low,仅作溯源锚点；与 N02 的关系无公开证据可补
N07,龙灵云,tieba,uid 13594989,https://tieba.baidu.com/home/main?un=%E9%BE%99%E7%81%B5%E4%BA%91,账号在；女流吧最后主题 2016-09,很可能是优酷「俺是红领巾」的上传者（贴出全部 11 个地址、说「就是用的录像组的录像，不是我录的」「去优酷搜女流之心灵砒霜，每期都有」），但账号对应没有直接证据,p/4079886537 2015-10-03 合集帖；同帖有人说他也给周二珂录像,2015-07～2016,优酷俺是红领巾播单（已在档，见 external-2015-leads L08）,在线（大部分）,medium（与俺是红领巾同一人）,仅作溯源锚点。09-27 砒霜未上传的 2 小时 40 分钟，公开渠道没有线索
N08,瓦塔诺GO,youku,uid 18459899,https://i.youku.com/i/UNzM4Mzk1OTY=,账号在；频道只剩这 2 条女流视频（其余为魔兽宣传片）,贴吧同名账号 uid 919010 存在但无任何女流吧痕迹，不合并,两条「女流斗鱼直播录像 - 2015012x - 超清」正好从录像组声称的起点 1.29 开始；0130 缩略图 ID 内嵌时间 2015-02-01 01:22（推断），早于 Iam左丞相 当天 17:10 开的下载帖（02-02 回复「补上30号没看的」）——同一批文件的可能性高，但没有账号层面的证据,2015-01-29～02-01,XODgyNjI1MzQ0、XODgzNzgxNzky,在线（已在档）,medium-low（录像组成员或转载者）,仅作溯源锚点。公开线索：优酷播单内其它条目的元数据（已在档）
N09,苏林绘,youku,uid 136791882,https://i.youku.com/i/UNTQ3MTY3NTI4,账号在,可能就是 N01（Iam左丞相 07-29 以制作者口吻回应），未证实,两条风之旅人合并版：XMTI5MjA5NTc3Ng《…合并版_小桀_女流》6886 秒、XMTI5MzU0NzcwMA《…合并版V2_女流视角弹幕版》6886 秒,2015-07-22 场,XMTI5MjA5NTc3Ng（**档案未收**，yt-dlp 2026-09-24 仍取得元数据）、XMTI5MzU0NzcwMA（已在 2015-07-22-live-01）,V1 在线（元数据可取）,high（上传者）／low（与 N01 同一人）,看 V1 XMTI5MjA5NTc3Ng 画面，若为双视角版补为 2015-07-22-live-01 的来源
N10,夜宴77910（吧友称「小新」）,tieba,uid 655909867,https://tieba.baidu.com/home/main?un=%E5%A4%9C%E5%AE%B477910,账号在；最后主题 2020,——,自述录制故宫：p/4208487661 2015-12-11「随便发个我录得20151211 女流发姐逛故宫（弹幕版）」；p/4408559699 2016-03-12「这是我去年12月11日录制的发姐女流逛故宫」；2016 年为妖精少女、霹雳爷们儿等户外主播录像,2015-12-11,优酷 XMTQxMDA0ODQ1Ng（已删，已在档）,视频已删,high（故宫录制者）,仅作溯源锚点。公开线索：优酷 XMTQxMDA0ODQ1Ng 在别处的转载或截图
