ac_id,title_from_douyu_module,verified_title,duration_min,note
ac1691627,跟着节奏一起来抖腿~,,,2026-09-22 取不到标题/时长，可能已删除或需登录
ac1696480,女流之萌音加节奏 让你的耳朵欲罢不能,【女流】女流之萌音加节奏 让你的耳朵欲罢不能,149,
ac1708393,【亿命通关】I wanna be the xylem,【女流】01-27小游戏直播 I wanna be the xylem,88,已核实：发布 2015-01-29、01:27:30、可播放；已作为 2015-01-27-live-01 的来源
ac1726549,【女流】直播福利 跳个舞给你们看,,,2026-09-22 取不到标题/时长，可能已删除或需登录
ac1733926,【超级马里奥】其实公主才是魔王,【女流】超级马里奥 公主拯救计划,100,
ac1736317,别再说倒背如流这些奇奇怪怪的话了,【女流】别再说倒背如流这些奇奇怪怪的话了,157,
ac1762715,女流哥又来直播跳舞了,,116,时长已取到；标题解析只拿到分P标签，需人工复核
ac1762726,【女流DOTA2】我喜欢远远的仍球,,,2026-09-22 取不到标题/时长，可能已删除或需登录
ac1894602,【雷曼传奇】跟着我左手右手一个慢动作,【雷曼传奇】斗鱼TV高智商女主播背对观众雷曼传奇欢乐冒险记,124,
ac1996340,OMG 女流开摄像头与小桀直播“合体”啦,,84,时长已取到；标题解析只拿到分P标签，需人工复核
ac1996935,姐姐带你玩恐怖解密小游戏 声音萌萌哒,,48,时长已取到；标题解析只拿到分P标签，需人工复核
ac2007546,女流姐姐带大家一起玩蝙蝠侠,,80,时长已取到；标题解析只拿到分P标签，需人工复核
ac2093289,知性女流姐姐直播读观众邮件互动,【女流解答】又到了每周一次的女流姐姐回答观众困惑的时候 知性女流,91,
ac2095682,物理满分 不服来辩 知心姐姐带你架桥,【主机游戏】物理满分 不服来辩！女流姐姐带大家一起玩poly bridge,210,
ac2112065,姐姐咱怕这个 咱可以不玩这个游戏吗,,,2026-09-22 取不到标题/时长，可能已删除或需登录
ac2253461,女流生日数万观众齐送祝福和礼物,,,2026-09-22 取不到标题/时长，可能已删除或需登录
ac2263960,36D女流日常周末【心灵砒霜】,,,2026-09-22 取不到标题/时长，可能已删除或需登录
ac2274657,段子手6跟王俊凯在一起了？ illusion ！,,,2026-09-22 取不到标题/时长，可能已删除或需登录
ac2289531,【心灵砒霜】——36D女流特色节目,,,2026-09-22 取不到标题/时长，可能已删除或需登录
ac2289557,MC故事会——信女流，得女友！,,,2026-09-22 取不到标题/时长，可能已删除或需登录
ac2353769,古墓丽影10：崛起！体验36D晃动画面,【主机游戏】古墓丽影10：崛起！跟着手残女主播66姐一起来体验36D的晃动画面吧,116,已核实：发布 2015-11-27、可播放；已作为 2015-11-27-live-01 的来源
ac2353998,【心灵砒霜】第2015.11.26期,【心灵砒霜】你的女流你的心！心灵砒霜节目 第2015.11.26期,18,已核实：可播放；已作为 2015-11-26-live-01 的 clip 来源
ac2361862,女流带你玩转放逐之城 人口老化篇,【放逐之城】-女流姐姐带你玩转放逐之城 人口老化篇,92,
ac2368861,女流贴吧歌友会 水友实力写歌！,【全民星秀】36D女主播女流贴吧歌友会 水友实力写歌！,96,
ac2376661,节奏天国-跟着主播的节奏一起嗨起来！,,25,时长已取到；标题解析只拿到分P标签，需人工复核
ac2404437,《心灵砒霜》正确“指导”年轻人下药！,【心灵砒霜】女流《心灵砒霜》第20151219期 正确「指导」年轻人下药！,169,已核实：可播放；已作为 2015-12-19-live-01 的来源
ac2434529,【心灵砒霜】2016新年砒霜 元旦特辑,,,2026-09-22 取不到标题/时长，可能已删除或需登录
ac2434647,一起来玩《尼德霍格(Nidhogg)》吧,【主机游戏】跟着女流一起来玩《尼德霍格(Nidhogg)》吧（一）,53,
ac2434832,斗鱼MC圣诞建筑大赛 女流评分赏析！,【我的世界】斗鱼TV我的世界MC圣诞建筑大赛 女流 作品打分视角！,160,已在档案中（原 2016-01-04-live-01，2026-09-23 改为 2015-12-24-live-01，直播日实为 2015-12-24）；时长 160 与该条 duration_min 一致
ac2440642,乱伦之城？  都这么能生孩子！,,55,时长已取到；标题解析只拿到分P标签，需人工复核
ac2441013,请出示文件 接受女流检察官的审查！,"【主机游戏】Paper,Please -《请出示文件》接受女流检察官的审查吧！",40,
ac2454680,十八载春梦，十八载圆梦 - 黄渤！,【心灵砒霜】十年寒窗，十年砒霜 十八载春梦，十八载圆梦 - 黄渤！,85,
ac2454719,十年寒窗，十年砒霜 第20161010期,【心灵砒霜】十年寒窗，十年砒霜 心灵砒霜第2016.10.10期,94,标题期号写「2016.10.10」，但 ac 号位于 2016-01 区间，自相矛盾，需人工核
ac2454741,Poly bridge  11月更新最新关卡！,【主机游戏】Poly bridge 11月更新最新关卡 快来体验吧（一）,80,
ac2479097,没有下药不能解决的事,,,2026-09-22 取不到标题/时长，可能已删除或需登录
ac2553531,终极街霸4 一起来围观女流玩街霸！,【主机游戏】终极街霸4 女流也玩街霸！,135,
ac2555180,【主机游戏】毛线小灵精：一段走心的旅程,,,2026-09-22 取不到标题/时长，可能已删除或需登录
