ac_id,publish_cst,duration_min,parts,playable,kind,live_date,date_confidence,archive_entry,disposition,title,note
ac1691798,2015-01-22 11:23,123,1,yes,full-replay,2015-01-21,confirmed,2015-01-21-live-01,既有条目·已用作来源,【女流】知名游戏解说女流斗鱼首秀 背对摄像头真的好吗,斗鱼首秀。
ac1694027,2015-01-23 10:45,100,1,yes,full-replay,2015-01-22,confirmed,2015-01-22-live-01,新建条目·续五,【女流】女流之背 女流的小游戏时间,续五看片：片中多次提到「昨天」的直播（昨天收到的鱼丸、昨天播过的踢足球游戏、昨天讲过的 Lumino City），故不早于首播次日；发布 01-23 10:45 早于当日开播，故不晚于 01-22。音频比对另证不在首播录像 ac1691798 内。
ac1696480,2015-01-24 11:09,149,1,yes,full-replay,2015-01-23,strongly-supported,2015-01-23-live-01,新建条目·本轮,【女流】女流之萌音加节奏 让你的耳朵欲罢不能,快照证 01-23 19:34 在播 + 发布滞后 1 天 + 149 分钟合晚播。
ac1708393,2015-01-29 11:12,85,1,yes,full-replay,2015-01-27,confirmed,2015-01-27-live-01,既有条目·已用作来源,【女流】01-27小游戏直播 I wanna be the xylem,标题自带 01-27。
ac1719337,2015-02-03 12:25,41,1,yes,partial-replay,2015-01-22~02-02,bounded,,未决·有界,【女流】女流的第一千次死亡,续五：不在 02-02《I am scared》（BV1Gx411A7K6）与 01-29《变态人生大冒险》（BV1Gx411A7NC）两份录像内（音频比对无重叠）；片中只说「说好的今天一定要过」，无日期线索。下限为首播次日（01-21 首播录像另有归属），上限为发布前一日。能定案的材料：带日期的另一份录像或当期直播间快照。
ac1733926,2015-02-09 16:32,100,1,yes,full-replay,2015-02-07~02-08,bounded,,未决·有界,【女流】超级马里奥 公主拯救计划,续五：片尾「不知道昨天的那个存储点还有没有」，即前一天也玩了马里奥；02-06 是《去月球》整场，02-07 14:13 的快照显示当时尚未开播。在 02-07、02-08 之间定不下来。能定案的材料：02-07/02-08 任一天的快照或带日期的录像。
ac1736317,2015-02-10 16:58,157,1,yes,partial-replay,2015-02-09,confirmed,2015-02-09-live-01,既有条目·续五补源,【女流】别再说倒背如流这些奇奇怪怪的话了,续五：与 ac1736364 同为《Don't Escape 2》，ac1736364 结尾布置陷阱、本片开头逐项计算陷阱挡僵尸，进度首尾相接；音频比对两片无重叠。条目时长 107→264。
ac1736364,2015-02-10 17:17,107,1,yes,partial-replay,2015-02-09,confirmed,2015-02-09-live-01,新建条目·本轮,【女流】手残不能玩的游戏,简介自述「2月9日直播部分~~」，本轮唯一一条简介写明日期的。
ac1762715,2015-02-27 11:30,116,1,yes,full-replay,2015-02-10,confirmed,2015-02-10-live-01,新建条目·续五,【女流】又见福利 女流又来直播跳舞了,续五看片：开场「本来是两点半开始」，自述「后天坐飞机就走了」「明天……跟大家一起打一局DOTA2」，零食店「2月11号开始……不发货」；快照证春节前最后一场是 02-11「水友赛+2点半Braid时空幻境」，故今天＝02-10。Wii U《舞力全开》。发布滞后 17 天系春节停更。
ac1805046,2015-03-24 15:57,99,1,yes,not-nvliu,,n/a,,非女流录像·客串,【国行PS4】首发测试  超级小桀,超级小桀的国行 PS4 首发测试，简介写「最后女流帮我涨智商」。收录仅为说明已核查过。
ac1816049,2015-03-31 16:48,98,1,yes,full-replay,2015-03-30,strongly-supported,2015-03-30-live-01,新建条目·本轮,【女流】ps4开箱引来好人小杰的帮忙,快照缩略图证 03-30 19:11 在播 + 发布滞后 1 天。
ac1839929,2015-04-15 10:15,130,1,yes,full-replay,2015-04-06~04-14,bounded,,未决·有界,【女流】女流66南瓜先生大冒险,续五：快照 04-06 15:24 时最后开播仍是 04-03，发布 04-15 10:15，故落在 04-06 下午～04-14。片中聊到新开的零食淘宝店「今天是最后一天」，但未说是什么的最后一天。能定案的材料：该淘宝店开业/活动日期，或此区间的快照。
ac1894602,2015-05-14 13:31,124,1,yes,full-replay,2015-05-10~05-13,bounded,,未决·有界,【雷曼传奇】斗鱼TV高智商女主播背对观众雷曼传奇欢乐冒险记,续五：快照 05-10 09:35 时最后开播仍是 04-30，发布 05-14 13:31，故落在 05-10～05-13；片尾「今天就这样了……明天继续」，次日还会接着玩雷曼，05-15 19:06 快照也是《雷曼传奇PS4》。能定案的材料：05-10～05-13 的快照。
ac1996340,2015-07-01 12:05,84,1,yes,full-replay,2015-06-30,confirmed,2015-06-30-live-01,既有条目·续五补源,【主机游戏】OMG！女流开摄像头与小桀直播“合体”啦,续五音频比对：本片 3:36 起与 B站 BV1f64y1F7Ex（2015-06-30《到家》）全程对齐，是同一场；多出开头 3.6 分钟（与小桀连麦道别），条目时长 80→84。
ac1996935,2015-07-01 16:41,48,1,yes,partial-replay,≤2015-06-30,bounded,,未决·有界·疑与 06-30 同场,【主机游戏】女流姐姐带你玩恐怖解密小游戏 声音萌萌哒,续五：《逃脱方块：哈维的盒子》，画面无摄像头、无法比对衣着；分P 文件比 ac1996340 晚 20 分钟上传，片中同样提到「小蜜」，很可能与 06-30 同场，但未证实，不挂靠。能定案的材料：能看到她本人画面或切换游戏的连续录像。
ac2007546,2015-07-06 13:59,80,1,yes,full-replay,2015-06-23~06-29,bounded,,未决·有界,【主机游戏】女流姐姐带大家一起玩蝙蝠侠,续五：内容是《蝙蝠侠：阿卡姆骑士》（06-23 发售）；06-30 那场（ac1996340）开头她说「蝙蝠侠的盘已经给小蜜了」，故本场早于 06-30。06-24 另有《奇异人生》整场。能定案的材料：该区间的快照或带日期录像。
ac2012193,2015-07-08 12:41,109,1,yes,event,2015-07-04,confirmed,2015-07-04-live-01,新建条目·续五,鱼塘星音乐 第三轮第三场 女流&超级小桀   20150704,标题自带 20150704。斗鱼官方「鱼塘星音乐」第三轮第三场，按档案收录斗鱼嘉年华、E3 等平台活动的先例建条。
ac2046553,2015-07-23 15:49,89,1,yes,full-replay,2015-07-22,confirmed,2015-07-22-live-01,既有条目·续五并入·原 07-23 条目已删,【单机游戏】斗鱼年度催泪大戏--有缘必相会-女流视角,续五音频比对：12:00 起与 B站「2015.7.22」P2.1/P2.2 逐段对齐（0.7～0.99），60 分钟起自身重播（与 2015-07-24 评论相合）；前 12 分钟为独有内容。原 2015-07-23-live-01 系按发布日重复建档，已并入 07-22，时长 116→128。
ac2074580,2015-08-05 05:43,50,1,yes,event,2015-08-04,confirmed,2015-08-04-live-01,新建条目·续五,【游戏展】女流带你看德国科隆游戏展,续五看片：边看边解说 Gamescom 2015 微软发布会（Win10、Win10 版 MC、HoloLens、《光环战争2》首曝）。该发布会仅在 2015-08-04（北京时间 20:00）举行，录像次日 05:43 发布。
ac2093289,2015-08-12 15:32,91,1,yes,partial-replay,2015-08-09,confirmed,2015-08-09-live-01,既有条目·续五补源,【女流解答】又到了每周一次的女流姐姐回答观众困惑的时候  知性女流,续五音频比对：全片与 B站「心灵砒霜-20150809」的 63:36～153:00 对齐，是该场中间一段。
ac2095682,2015-08-13 15:28,210,1,yes,full-replay,2015-08-12,strongly-supported,2015-08-12-live-01,新建条目·续五,【主机游戏】物理满分  不服来辩！女流姐姐带大家一起玩poly bridge,续五看片：片尾「明天请假，后天播 CS Online 和 MC」。08-09、08-11 另有整场直播，08-10/08-07/08-08 都与「明天请假」冲突，更早则滞后超过一周，只剩 08-12。confidence medium。
ac2353769,2015-11-27 16:14,116,1,yes,full-replay,2015-11-25,strongly-supported,2015-11-25-live-01,新建条目·续五·已自 11-27 摘除,【主机游戏】古墓丽影10：崛起！跟着手残女主播66姐一起来体验36D的晃动画面吧,续五看片：晚上九点多开播的深夜场（自述八点半出门吃火锅），刚搬家；「接下来的五天我会每天直播五个小时以上」——数到月底恰好五天即 11-25。与 11-27（17:30 开播）不是同一场，音频也与（六）（七）（八）无重叠，已从 2015-11-27-live-01 摘除。confidence medium。
ac2353998,2015-11-27 17:26,18,1,yes,clip,2015-11-26,confirmed,2015-11-26-live-01,既有条目·已用作来源,【心灵砒霜】你的女流你的心！心灵砒霜节目 第2015.11.26期,标题自带期号 2015.11.26，18 分钟精剪。
ac2359238,2015-11-30 11:55,103,1,yes,partial-replay,2015-11-27,strongly-supported,2015-11-27-live-01,既有条目·本轮补源,【古墓丽影】X-box中文版-女汉子劳拉又回来啦！（六）-女流66,系列（六），103 分钟。
ac2359321,2015-11-30 12:31,72,1,yes,partial-replay,2015-11-27,strongly-supported,2015-11-27-live-01,既有条目·本轮补源,【古墓丽影】X-box中文版-女汉子劳拉又回来啦！（七）-女流66,系列（七），72 分钟。
ac2359687,2015-11-30 15:41,25,1,yes,partial-replay,2015-11-27,strongly-supported,2015-11-27-live-01,既有条目·本轮补源·二次发现,【古墓丽影】X-box中文版-女汉子劳拉又回来啦！（八）,系列（八），25 分钟。标题无「女流」，按简介链接找出。三段合计 200 分钟，直播间标题「古墓丽影还不结局」与排到第六~八段相合。
ac2361862,2015-12-01 13:43,92,1,yes,full-replay,2015-11-26,confirmed,,日期已定·场次未决,【放逐之城】 -女流姐姐带你玩转放逐之城 人口老化篇,续五看片：开头「今天正好是感恩节嘛」，送 5 份《辐射4》、微博抽奖「截止今晚7点」，片尾开奖后「那我今天就下了」——直播日确定为 11-26。但它不在 B站 294 分钟的 11-26 心灵砒霜录像里（无重叠），那份录像结尾也在「七点了」下播；两段是同一次开播的前后段还是当天两次开播，现有材料互相矛盾（开头说抽奖「还有一个小时」截止，时间上与心灵砒霜那段重叠），故既不挂 2015-11-26-live-01，也不另建 live-02。能定案的材料：当日完整录像或 11-26 的斗鱼快照。
ac2368861,2015-12-04 15:45,96,1,yes,event,≤2015-12-03,bounded,,未决·有界,【全民星秀】36D女主播女流贴吧歌友会  水友实力写歌！,续五：水友写歌的贴吧歌友会，片中无日期线索。候选是 11-30 深夜「聊一个小时睡觉」那场与 12-03（快照 21:24，「3ds节奏天国」）。能定案的材料：此期间的快照或带日期录像。
ac2376661,2015-12-08 13:27,25,1,yes,clip,≤2015-12-07,bounded,,未决·有界·精剪,【主机游戏】女流节奏天国精彩过关精选   跟着节奏一起嗨起来！,续五：25 分钟节奏天国过关精选，片中说「昨天那个猫狗打羽毛球」，前一天也玩过；与 12-03「3ds节奏天国」相近但未证实。精剪非全场，即便定日也只作 clip。
ac2404437,2015-12-21 11:52,169,1,yes,full-replay,2015-12-19,confirmed,2015-12-19-live-01,既有条目·已用作来源,【心灵砒霜】女流《心灵砒霜》第20151219期   正确“指导”年轻人下药！,标题自带期号 20151219。
