entry_id,entry_type,bvid,page,duration,max_height,frames_sampled,date_evidence_type,video_timecode,reading,verdict,content_check
2015-01-21-live-01,live,BV1Px411A7NG,1,,378,0,unscannable,,源文件最高 378p（登录后同样），时钟不可读；官方标题直接标注直播日；另有 A站 ac1691798 读到 2015/1/21 时钟,prior-confirmed,
2015-01-29-live-01,live,BV1Gx411A7NC,1,,378,0,unscannable,,源文件最高 378p（登录后同样），时钟不可读；官方标题直接标注直播日；优酷整场 256 分钟另存,prior-confirmed,
2015-02-04-live-01,live,BV1KW411g7Hr,1,0:53:24,480,107,console-clock,0:00:15,PS3 主界面「2/4 2:31 PM」,confirmed,风之旅人
2015-02-04-live-01,live,BV1KW411g7Hr,2,2:26:40,480,293,console-clock,1:41:45～1:54:45,PS3 主界面「2/4 5:07～5:20 PM」；XMB 里一项 Grave Diggers 2015/2/3,confirmed,风之旅人 → flOw → Flower 说明页 → Wii U 菜单 → Shot Aground（games 已补）
2015-02-05-live-01,live,BV13W41187BJ,1,2:18:00,496,276,in-game-save,2:15:45,去月球存档「2015/02/05 20:09」「2015/02/05 22:07」,confirmed,去月球
2015-02-06-live-01,live,BV13W41187BJ,2,2:05:57,720,252,file-timestamp,1:44:15,她的百度网盘「66斗鱼直播 20150205 P3.mp4」修改 2015-02-06 16:08,confirmed,去月球（中段在网盘/剪辑软件里操作）
2015-02-06-live-01,live,BV13W41187BJ,3,1:19:50,720,159,file-timestamp,1:19:45,F:\Bandicam\Capture 里 bandicam 2015-02-04 文件（旁证）,consistent,去月球
2015-02-28-live-01,live,BV1ox411A7mz,1,0:21:55,720,44,none,,,no-date-evidence,How to Cook Everything
2015-03-02-live-01,live,BV1bW411W74m,1,1:21:23,720,163,taskbar-clock,0:00:15～0:12:45,「14:55～15:07 2015/3/2」,confirmed,超凡双生
2015-03-02-live-01,live,BV1bW411W74m,2,1:21:23,720,150,none,,,no-date-evidence,超凡双生
2015-03-10-live-01,live,BV1bW411W74m,3,1:21:35,768,163,taskbar-clock,0:00:15～0:15:45,「14:17～14:33 2015/3/10」,confirmed,超凡双生
2015-03-10-live-01,live,BV1bW411W74m,4,0:42:03,768,78,none,,,no-date-evidence,超凡双生
2015-03-10-live-01,live,BV1bW411W74m,5,0:38:33,768,77,taskbar-clock,0:00:15,「16:21 2015/3/10」,confirmed,超凡双生
2015-03-10-live-01,live,BV1bW411W74m,6,0:59:31,768,119,none,,,no-date-evidence,超凡双生
2015-03-10-live-01,live,BV1bW411W74m,7,0:34:17,768,68,taskbar-clock,0:00:15～0:17:45,「17:59～18:17 2015/3/10」,confirmed,超凡双生
2015-03-11-live-01,live,BV1bW411W74m,8,1:07:13,768,134,taskbar-clock,0:03:45～1:02:45,「18:44 / 19:43 2015/3/11」,confirmed,超凡双生（通关）
2015-04-29-live-01,live,BV1Mo4y1h7Jn,1,1:33:27,720,177,none,,,no-date-evidence,FEZ
2015-06-23-live-01,live,BV1px411E7rA,1,1:14:30,768,149,taskbar-clock,1:12:15,录屏者任务栏「17:26 2015/6/23」,corrected,奇异人生第一章
2015-06-23-live-01,live,BV1px411E7rA,2,1:14:35,768,146,taskbar-clock,0:53:15,录屏者任务栏「18:21 2015/6/23」,corrected,奇异人生第二章
2015-06-23-live-01,live,BV1px411E7rA,3,1:14:30,768,145,taskbar-clock,0:04:45,录屏者任务栏「18:47 2015/6/23」,corrected,奇异人生第二章结尾、第三章开场
2015-06-23-live-01,live,BV1px411E7rA,4,1:14:30,768,148,none,,（与 P3 连续）,corrected,奇异人生第三章
2015-06-27-live-01,live,BV1vZ4y1c7ND,1,0:05:08,720,553,console-clock,0:00:15,PS4 时钟 AM 7:05；存档 2015/6/26 8:18～8:24 PM；好友通知 2015/6/26 5:52:22 PM（主机为 UTC）,confirmed,蝙蝠侠：阿卡姆骑士（P1～P4 共 553 帧）
2015-06-30-live-01,live,BV1f64y1F7Ex,1,1:20:01,720,160,none,,,no-date-evidence,Gone Home
2015-07-05-live-01,live,BV1ef4y1Y7T2,1,3:05:20,622,370,webpage,1:23:45,页面「最近更新：2015-05-29」（仅下限）,consistent,心灵砒霜
2015-07-12-live-01,live,BV1ef4y1Y7T2,2,2:38:59,622,315,taskbar-clock,0:16:15,「15:19～15:20 2015/7/12」,confirmed,心灵砒霜
2015-07-16-live-01,live,BV1ef4y1Y7T2,3,2:46:37,622,329,none,,,no-date-evidence,心灵砒霜
2015-07-19-live-01,live,BV1ef4y1Y7T2,4,2:49:18,622,337,none,,,no-date-evidence,心灵砒霜
2015-07-22-live-01,live,BV1KW411g7Hr,3,1:24:11,720,166,none,,,no-date-evidence,风之旅人（PS4）
2015-07-22-live-01,live,BV1KW411g7Hr,4,0:32:16,720,63,none,,,no-date-evidence,风之旅人（PS4）
2015-07-26-live-01,live,BV1ef4y1Y7T2,5,1:45:08,622,208,letter-text,0:08:45,来信「在2015年7月26日下午」,consistent,心灵砒霜
2015-08-09-live-01,live,BV1ef4y1Y7T2,6,3:29:54,622,420,none,,,no-date-evidence,心灵砒霜
2015-08-11-live-01,live,BV1Jx411E7JV,1,1:59:04,720,234,in-game-save,0:02:15,奇异人生读档「存档2 章节4 11/8/2015」「存档1 章节3 24/6/2015」,confirmed,奇异人生第四章
2015-08-11-live-01,live,BV1Jx411E7JV,2,0:48:14,720,96,none,,,no-date-evidence,奇异人生第四章
2015-08-11-live-01,live,BV1Jx411E7JV,3,0:23:49,720,48,none,,,no-date-evidence,奇异人生第四章
2015-08-16-live-01,live,BV1ef4y1Y7T2,7,1:46:03,622,212,none,,,no-date-evidence,心灵砒霜
2015-08-20-live-01,live,BV1KW411g7Hr,5,1:36:42,720,193,none,,,no-date-evidence,风之旅人（PS4）
2015-09-09-live-01,live,BV1ef4y1Y7T2,8,1:48:46,622,214,none,,,no-date-evidence,心灵砒霜
2015-09-10-live-01,live,BV1ef4y1Y7T2,9,1:02:29,622,125,none,,,no-date-evidence,心灵砒霜
2015-09-13-live-01,live,BV1ef4y1Y7T2,10,2:07:37,622,255,none,,,no-date-evidence,心灵砒霜
2015-10-11-live-01,live,BV1ef4y1Y7T2,11,3:12:34,622,379,none,,,no-date-evidence,心灵砒霜
2015-10-12-live-01,live,BV1xs41127t8,1,3:53:00,720,466,in-game-save,2:34:45,存档列表「2015/10/12 16:xx～17:xx」,confirmed,你之恋与真实之恋（后段为网页版）
2015-10-18-live-01,live,BV1ef4y1Y7T2,12,3:06:24,622,373,none,,,no-date-evidence,心灵砒霜
2015-10-20-live-01,live,BV1fW411b7Lv,1,0:37:57,1080,76,none,,,no-date-evidence,鸟的故事
2015-10-20-live-01,live,BV1fW411b7Lv,2,0:37:57,1080,76,none,,,no-date-evidence,鸟的故事
2015-10-23-live-01,live,BV1fx411j7ck,1,2:30:14,720,295,none,,,no-date-evidence,Undertale
2015-10-23-live-01,live,BV1fx411j7ck,2,1:08:15,720,135,none,,,no-date-evidence,Undertale
2015-10-25-live-01,live,BV1ef4y1Y7T2,13,3:19:27,622,393,letter-timestamp,0:11:45,观众来信「15:23 2015/10/25」,confirmed,心灵砒霜
2015-10-26-live-01,live,BV1Kx41177jR,1,1:35:37,720,190,none,,,no-date-evidence,Undertale
2015-10-26-live-01,live,BV1Kx41177jR,2,0:44:18,720,88,none,,,no-date-evidence,Undertale
2015-10-26-live-01,live,BV1Kx41177jR,3,0:16:28,720,33,none,,,no-date-evidence,Undertale
2015-10-26-live-01,live,BV1Kx41177jR,4,2:02:31,720,245,none,,,no-date-evidence,Undertale
2015-10-26-live-01,live,BV1Kx41177jR,5,0:57:55,720,108,none,,,no-date-evidence,Undertale
2015-10-27-live-01,live,BV1wx41177sQ,1,0:53:25,720,102,none,,,no-date-evidence,Undertale
2015-10-27-live-01,live,BV1wx41177sQ,2,1:16:42,720,153,none,,,no-date-evidence,Undertale
2015-10-27-live-01,live,BV1wx41177sQ,3,0:43:47,720,86,none,,,no-date-evidence,Undertale
2015-10-27-live-01,live,BV1wx41177sQ,4,0:39:10,720,76,none,,,no-date-evidence,Undertale
2015-10-27-live-01,live,BV1wx41177sQ,5,0:22:34,720,45,none,,,no-date-evidence,Undertale
2015-10-27-live-01,live,BV1wx41177sQ,6,0:19:45,720,39,none,,,no-date-evidence,Undertale
2015-10-28-live-01,live,BV17x411L7HQ,1,2:09:04,720,255,none,,,no-date-evidence,Undertale（二周目、结局）
2015-10-28-live-01,live,BV17x411L7HQ,2,0:50:26,720,101,none,,,no-date-evidence,Undertale（二周目、结局）
2015-10-29-live-01,live,BV1qx411E7ae,1,2:07:34,720,255,none,,,no-date-evidence,奇异人生第五章
2015-10-29-live-01,live,BV1qx411E7ae,2,0:36:18,720,72,none,,,no-date-evidence,奇异人生第五章
2015-10-29-live-01,live,BV1TQ4y1h7BG,1,1:01:28,720,123,none,,,no-date-evidence,返场聊天（竖屏摄像头）
2015-10-30-live-01,live,BV1ef4y1Y7T2,14,3:08:09,622,376,none,,,no-date-evidence,心灵砒霜
2015-11-08-live-01,live,BV1ef4y1Y7T2,15,3:05:23,622,367,room-title,0:00:15,直播间标题「明天周一你们…」→ 周日,consistent,心灵砒霜
2015-11-15-live-01,live,BV1ef4y1Y7T2,16,2:00:23,622,239,none,,,no-date-evidence,心灵砒霜
2015-11-26-live-01,live,BV1ef4y1Y7T2,17,4:53:44,622,587,none,,,no-date-evidence,心灵砒霜
2015-12-13-live-01,live,BV1ef4y1Y7T2,18,3:24:24,622,409,letter-text,1:59:15,来信截图「今天是2015年12月13日」,consistent,心灵砒霜
2015-12-19-live-01,live,BV1ef4y1Y7T2,19,3:54:17,622,468,none,,,no-date-evidence,心灵砒霜
2015-01-30-video-01,video,BV1Gx411A7K6,1,,378,0,unscannable,,源文件最高 378p（登录后同样），时钟不可读；task-046 已音频定为 01-29 直播片段,prior-confirmed,
2015-04-07-video-01,video,BV1Fs411D7Vp,1,0:11:54,720,23,none,,,n/a-video,Lakeview Cabin
2015-06-20-video-01,video,BV1Ds411U73H,1,0:09:33,720,19,none,,,n/a-video,辐射：避难所
2015-06-20-video-02,video,BV1Ds411U7gG,1,0:55:07,720,110,none,,,n/a-video,逃脱方块：四季
2015-06-26-video-01,video,BV1Ss411U7bd,1,0:06:02,720,12,none,,,n/a-video,雷曼传奇
2015-07-23-video-01,video,BV1bs411S7M4,1,0:10:27,720,21,none,,,n/a-video,球球大作战
2015-08-13-video-01,video,BV1as411m7hv,1,0:26:01,720,52,none,,,n/a-video,Her Story
2015-09-04-video-01,video,BV1Gs411U7jd,1,0:30:33,720,61,none,,,n/a-video,Her Story
2015-09-11-video-01,video,BV1ks41117Vc,1,0:43:25,720,87,none,,,n/a-video,我的老师是只熊（橙光）
2015-09-18-video-01,video,BV1Ds411175V,1,0:25:47,720,51,none,,,n/a-video,Lakeview Cabin
2015-10-09-video-01,video,BV1Vs41127ox,1,0:44:40,720,89,none,,,n/a-video,逆转裁判
2015-10-23-video-01,video,BV1vs41127UG,1,1:01:56,720,123,none,,,n/a-video,逆转裁判
2015-10-30-video-01,live,BV1ms41127NH,1,0:12:34,720,20,none,,,no-date-evidence,千万不能看
2015-11-06-video-01,video,BV1ws411d7te,1,0:24:01,1080,48,none,,,n/a-video,国王密使
2015-12-29-video-01,video,BV1As411R7Bg,1,2:02:00,720,244,none,,,n/a-video,Rusty Lake Hotel
