bvid,pubdate,live_date,duration,cover,title
BV1yM411R7GY,2023-12-01,2023-11-30,521:58,https://i0.hdslb.com/bfs/archive/98c317574de6684b9e52b1f4b1ecda0e47cfa37c.jpg,【女流】2023年11月30日录播《66聊聊》
BV1Ra4y1d7Vn,2023-11-30,2023-11-29,307:54,https://i0.hdslb.com/bfs/archive/a501099454fd619ef8f83a1a7e8174d7e340a114.jpg,【女流】2023年11月29日录播《英雄杀手》
BV1sb4y1M7q8,2023-11-29,2023-11-28,242:55,https://i0.hdslb.com/bfs/archive/7daeb989489922f3b7d1fe5d03c8259228007550.jpg,【女流】2023年11月28日录播《街霸》
BV1x94y1n7Vr,2023-11-28,2023-11-27,398:16,https://i0.hdslb.com/bfs/archive/a501099454fd619ef8f83a1a7e8174d7e340a114.jpg,【女流】2023年11月27日录播《英雄杀手》P1
BV1La4y1f7wb,2023-11-28,2023-11-27,182:01,https://i0.hdslb.com/bfs/archive/a501099454fd619ef8f83a1a7e8174d7e340a114.jpg,【女流】2023年11月27日录播《英雄杀手》P2
BV1gv411F7sW,2023-11-27,2023-11-26,246:18,https://i0.hdslb.com/bfs/archive/ca28e261585d302f611380aa2b7ca824fb63ffaa.jpg,【女流】2023年11月26日录播《心灵砒霜 弹幕版》
BV1bc411z7k6,2023-11-26,2023-11-26,246:18,https://i0.hdslb.com/bfs/archive/ca28e261585d302f611380aa2b7ca824fb63ffaa.jpg,【女流】2023年11月26日录播《心灵砒霜 》
BV1wc411z7FS,2023-11-25,2023-11-24,220:09,https://i0.hdslb.com/bfs/archive/8b0b3637db242dbb77f4f6dba6cce5c39e744a08.jpg,【女流】2023年11月24日录播《大侠立志传》P2
BV1tM411f7j8,2023-11-25,2023-11-25,195:25,https://i0.hdslb.com/bfs/archive/de0228f64362f6124d3e5350f3a886c2feacb138.jpg,【女流】2023年11月25日录播《吃香》P1
BV1cw411H7u1,2023-11-25,2023-11-24,220:06,https://i0.hdslb.com/bfs/archive/8b0b3637db242dbb77f4f6dba6cce5c39e744a08.jpg,【女流】2023年11月24日录播《大侠立志传》P3
BV1MG411S7my,2023-11-25,2023-11-25,195:28,https://i0.hdslb.com/bfs/archive/de0228f64362f6124d3e5350f3a886c2feacb138.jpg,【女流】2023年11月25日录播《吃香》P2
BV1BQ4y1t7Mo,2023-11-25,2023-11-24,220:06,https://i0.hdslb.com/bfs/archive/8b0b3637db242dbb77f4f6dba6cce5c39e744a08.jpg,【女流】2023年11月24日录播《大侠立志传》P1
BV1Wa4y1Z7QE,2023-11-23,2023-11-23,481:12,https://i0.hdslb.com/bfs/archive/8b0b3637db242dbb77f4f6dba6cce5c39e744a08.jpg,【女流】2023年11月23日录播《大侠立志传》
BV1za4y1Z7H1,2023-11-22,2023-11-22,310:26,https://i0.hdslb.com/bfs/archive/8b0b3637db242dbb77f4f6dba6cce5c39e744a08.jpg,【女流】2023年11月22日录播《大侠立志传》
BV1hQ4y1b7AJ,2023-11-22,2023-11-21,256:52,https://i0.hdslb.com/bfs/archive/8b0b3637db242dbb77f4f6dba6cce5c39e744a08.jpg,【女流】2023年11月21日录播《大侠立志传》P1
BV1f34y1c7Nc,2023-11-22,2023-11-21,256:50,https://i0.hdslb.com/bfs/archive/8b0b3637db242dbb77f4f6dba6cce5c39e744a08.jpg,【女流】2023年11月21日录播《大侠立志传》P2
BV1gw411P79y,2023-11-21,2023-11-20,270:35,https://i0.hdslb.com/bfs/archive/8b0b3637db242dbb77f4f6dba6cce5c39e744a08.jpg,karmazoo【女流】2023年11月20日录播《大侠立志传》&《因果动物园》P1
BV17z4y1c7o8,2023-11-21,2023-11-20,270:36,https://i0.hdslb.com/bfs/archive/e9e7f56eef6ade5f65ee4723c1d2b44661fbe9b5.jpg,【女流】2023年11月20日录播《大侠立志传》&《因果动物园》P2
BV1n94y1H7yA,2023-11-20,2023-11-19,215:54,https://i0.hdslb.com/bfs/archive/3477ced7024b045d8baa5c5fec1e82e6ed11e825.jpg,【女流】2023年11月19日录播《大侠立志传》P1
BV1mH4y1q7WR,2023-11-20,2023-11-19,215:55,https://i0.hdslb.com/bfs/archive/3477ced7024b045d8baa5c5fec1e82e6ed11e825.jpg,【女流】2023年11月19日录播《大侠立志传》P2
BV1Hu4y1P7Wn,2023-11-19,2023-11-18,429:55,https://i0.hdslb.com/bfs/archive/3477ced7024b045d8baa5c5fec1e82e6ed11e825.jpg,【女流】2023年11月18日录播《大侠立志传》
BV1bw411H7iT,2023-11-18,2023-11-17,166:49,https://i0.hdslb.com/bfs/archive/cb46975bedf7004fcf2bdde419e98cab5a29e633.jpg,【女流】2023年11月17日录播《遗迹2》P2
BV1fH4y1i7LW,2023-11-13,2023-11-12,118:07,https://i0.hdslb.com/bfs/archive/b731b878a19ce8ad44a46f7ccde1d551562e055e.jpg,【女流】2023年11月12日录播《心灵砒霜弹幕版》P2
