capture_utc,capture_cst,listing_page,room_title,thumb_cst,marked_live,stream_date,wayback_url
20150209070535,2015-02-09 15:05,homepage,TO THE MOON,2015-02-09 14:53,not-marked,2015-02-09,https://web.archive.org/web/20150209070535/http://www.douyutv.com/
20150325055115,2015-03-25 13:51,homepage,港版PS4开箱,2015-03-25 13:44,yes,2015-03-25,https://web.archive.org/web/20150325055115/http://www.douyutv.com/
20150325055652,2015-03-25 13:56,homepage,港版PS4开箱,2015-03-25 13:44,yes,2015-03-25,https://web.archive.org/web/20150325055652/http://www.douyutv.com/
20150325055741,2015-03-25 13:57,/directory/game/TVgame,港版PS4开箱,2015-03-25 13:44,yes,2015-03-25,https://web.archive.org/web/20150325055741/http://www.douyutv.com/directory/game/TVgame
20150325060111,2015-03-25 14:01,/directory/all,港版PS4开箱,2015-03-25 13:44,yes,2015-03-25,https://web.archive.org/web/20150325060111/http://www.douyutv.com/directory/all
20150403101458,2015-04-03 18:14,/directory/game/TVgame,霸道总裁爱上。。。谁,2015-04-03 18:02,yes,2015-04-03,https://web.archive.org/web/20150403101458/http://www.douyutv.com/directory/game/TVgame
20150410102247,2015-04-10 18:22,/directory/game/TVgame,霸道间谍爱上。。我,2015-04-10 18:08,yes,2015-04-10,https://web.archive.org/web/20150410102247/http://www.douyutv.com/directory/game/TVgame
20150428064854,2015-04-28 14:48,/directory/game/TVgame,FEZ是一个神奇的游戏,2015-04-28 14:41,yes,2015-04-28,https://web.archive.org/web/20150428064854/http://www.douyutv.com/directory/game/TVgame
20150713065613,2015-07-13 14:56,/directory/all,交出你手上的钻石镐,2015-07-13 14:53,yes,2015-07-13,https://web.archive.org/web/20150713065613/http://www.douyutv.com/directory/all
20150717075354,2015-07-17 15:53,homepage,我活着回来了,2015-07-17 15:45,not-marked,2015-07-17,https://web.archive.org/web/20150717075354/http://www.douyutv.com/
20150717090955,2015-07-17 17:09,/directory/all,我活着回来了,2015-07-17 17:06,yes,2015-07-17,https://web.archive.org/web/20150717090955/http://www.douyutv.com/directory/all
20150803081925,2015-08-03 16:19,homepage,大周还认不认我这个王,2015-08-03 16:13,not-marked,2015-08-03,https://web.archive.org/web/20150803081925/http://www.douyutv.com//
20150819103618,2015-08-19 18:36,homepage,感觉不是很妙,2015-08-19 18:25,not-marked,2015-08-19,https://web.archive.org/web/20150819103618/http://www.douyutv.com/
20150916095148,2015-09-16 17:51,/directory/game/TVgame,户外信号不好直播推迟,2015-09-16 17:47,yes,2015-09-16,https://web.archive.org/web/20150916095148/http://www.douyutv.com/directory/game/TVgame
20151013085505,2015-10-13 16:55,/directory/game/TVgame,军师很忙yo yo yo,2015-10-13 16:47,yes,2015-10-13,https://web.archive.org/web/20151013085505/http://www.douyutv.com/directory/game/TVgame
20151015084112,2015-10-15 16:41,/directory/game/TVgame,三娃子拯救世界：dropsy,2015-10-15 16:39,yes,2015-10-15,https://web.archive.org/web/20151015084112/http://www.douyutv.com/directory/game/TVgame
20151021075921,2015-10-21 15:59,homepage,这是一个伟大的游戏,2015-10-21 15:56,not-marked,2015-10-21,https://web.archive.org/web/20151021075921/http://www.douyutv.com/
20151021083454,2015-10-21 16:34,/directory/all,这是一个伟大的游戏,2015-10-21 16:33,yes,2015-10-21,https://web.archive.org/web/20151021083454/http://www.douyutv.com/directory/all
20151104074837,2015-11-04 15:48,homepage,poly bridge更新关卡,2015-11-04 15:46,not-marked,2015-11-04,https://web.archive.org/web/20151104074837/http://www.douyutv.com/
20151104080008,2015-11-04 16:00,/directory/all,poly bridge更新关卡,2015-11-04 15:54,yes,2015-11-04,https://web.archive.org/web/20151104080008/http://www.douyutv.com/directory/all
20151110072321,2015-11-10 15:23,/directory/all,提醒我每天两关小象露露,2015-11-10 15:16,yes,2015-11-10,https://web.archive.org/web/20151110072321/http://www.douyutv.com/directory/all
20151124072041,2015-11-24 15:20,/directory/all,士别三日当chuox,2015-11-24 15:16,yes,2015-11-24,https://web.archive.org/web/20151124072041/http://www.douyutv.com/directory/all
20151124072102,2015-11-24 15:21,/directory/game/TVgame,士别三日当chuox,2015-11-24 15:16,yes,2015-11-24,https://web.archive.org/web/20151124072102/http://www.douyutv.com/directory/game/TVgame
20151124073032,2015-11-24 15:30,/directory/all,士别三日当chuox,2015-11-24 15:29,yes,2015-11-24,https://web.archive.org/web/20151124073032/http://www.douyutv.com/directory/all
20151127093621,2015-11-27 17:36,/directory/all,古墓丽影还不结局,2015-11-27 17:30,yes,2015-11-27,https://web.archive.org/web/20151127093621/http://www.douyutv.com/directory/all?_dp=1.-1.1.0
20151206074100,2015-12-06 15:41,/directory/all,今天会早点下,2015-12-06 15:38,yes,2015-12-06,https://web.archive.org/web/20151206074100/http://www.douyutv.com/directory/all?_dp=0.-1.1.0
20160105072846,2016-01-05 15:28,homepage,游戏：谁是你爸爸？,2016-01-05 15:22,not-marked,2016-01-05,https://web.archive.org/web/20160105072846/http://www.douyutv.com/
20160105072951,2016-01-05 15:29,/directory/all,游戏：谁是你爸爸？,2016-01-05 15:22,yes,2016-01-05,https://web.archive.org/web/20160105072951/http://www.douyutv.com/directory/all
20160224085000,2016-02-24 16:50,/directory/game/TVgame,逆途更新了,2016-02-24 16:42,not-marked,2016-02-24,https://web.archive.org/web/20160224085000/http://www.douyutv.com/directory/game/TVgame
20160225093644,2016-02-25 17:36,/directory/all,来了来了空手来了,2016-02-25 17:34,not-marked,2016-02-25,https://web.archive.org/web/20160225093644/http://www.douyutv.com/directory/all
20160226081243,2016-02-26 16:12,/directory/game/TVgame,休息一下。。。。,2016-02-26 16:07,not-marked,2016-02-26,https://web.archive.org/web/20160226081243/http://www.douyutv.com/directory/game/TVgame
20160228035658,2016-02-28 11:56,/directory/all,休息一下。。。。,2016-02-28 11:52,not-marked,2016-02-28,https://web.archive.org/web/20160228035658/http://www.douyutv.com/directory/all
20160229060632,2016-02-29 14:06,homepage,【2016北京艺考Day9】北电三试,2016-02-29 14:03,not-marked,2016-02-29,https://web.archive.org/web/20160229060632/http://www.douyutv.com/
20160322112802,2016-03-22 19:28,/directory/game/TVgame,6: 周二 Tuesday,2016-03-22 19:27,not-marked,2016-03-22,https://web.archive.org/web/20160322112802/http://www.douyutv.com/directory/game/TVgame
20160322112945,2016-03-22 19:29,/directory/all,6: 周二 Tuesday,2016-03-22 19:27,not-marked,2016-03-22,https://web.archive.org/web/20160322112945/http://www.douyutv.com/directory/all
