capture_utc,capture_cst,url_form,room_title,category,show_status
20150124025630,2015-01-24 10:56,156277,女流之背,主机游戏,2
20150124041412,2015-01-24 12:14,156277,女流之背,主机游戏,2
20150207061347,2015-02-07 14:13,156277,TO THE MOON,主机游戏,2
20150215070820,2015-02-15 15:08,156277,水友赛+2点半Braid时空幻境,主机游戏,2
20150225054916,2015-02-25 13:49,156277,水友赛+2点半Braid时空幻境,主机游戏,2
20150307202525,2015-03-08 04:25,156277,随便播播播,主机游戏,2
20150318035450,2015-03-18 11:54,156277,我是谁？,主机游戏,1
20150319211916,2015-03-20 05:19,156277,我是谁？,主机游戏,2
20150327150316,2015-03-27 23:03,156277,女流GTA5线上模式,主机游戏,2
20150403105331,2015-04-03 18:53,156277,霸道总裁爱上。。。谁,主机游戏,2
20150423201250,2015-04-24 04:12,156277,传送门1,主机游戏,2
20150426174231,2015-04-27 01:42,156277,传送门2女流被喷记,主机游戏,2
20150429080539,2015-04-29 16:05,156277,FEZ是一个神奇的游戏?,主机游戏,1
20150506095156,2015-05-06 17:51,156277,名字是如此的随意,主机游戏,2
20150517010433,2015-05-17 09:04,156277,雷曼传奇PS4,主机游戏,2
20150709211028,2015-07-10 05:10,156277,肚子还有点儿疼,主机游戏,2
20150709223017,2015-07-10 06:30,156277,肚子还有点儿疼,主机游戏,2
20150716235458,2015-07-17 07:54,156277,一下回到解放前,主机游戏,2
20150717010603,2015-07-17 09:06,nvliu,一下回到解放前,主机游戏,2
20150818033503,2015-08-18 11:35,156277,我想的美,主机游戏,2
20150818034818,2015-08-18 11:48,nvliu,我想的美,主机游戏,2
20150823004715,2015-08-23 08:47,nvliu,土木工程专业错失人才,主机游戏,2
20150825010918,2015-08-25 09:09,156277,26号从上海回来直播~~,主机游戏,2
20150828055840,2015-08-28 13:58,nvliu,PT寂静岭,主机游戏,2
20150831042843,2015-08-31 12:28,156277,《脉动游戏男女GO》第四期,主机游戏,2
20150903020755,2015-09-03 10:07,nvliu,药是甜的,主机游戏,2
20150905232205,2015-09-06 07:22,156277,第四届MC女流杯建筑大赛,主机游戏,2
20150908121710,2015-09-08 20:17,nvliu,今天有事不能直播抱歉啦~,主机游戏,2
20150912061119,2015-09-12 14:11,156277,新作到手：折纸世界,主机游戏,2
20150914034212,2015-09-14 11:42,nvliu,对不起我又迟到了,主机游戏,2
20150923045120,2015-09-23 12:51,156277,对不起我尽力了早睡吧,主机游戏,2
20150923063035,2015-09-23 14:30,nvliu,对不起我尽力了早睡吧,主机游戏,2
20150930015907,2015-09-30 09:59,nvliu,旅游照片未整理,主机游戏,2
20150930040649,2015-09-30 12:06,156277,旅游照片未整理,主机游戏,2
20151005134332,2015-10-05 21:43,nvliu,18888888888888888888,主机游戏,2
20151006040143,2015-10-06 12:01,156277,18888888888888888888,主机游戏,2
20151012162331,2015-10-13 00:23,nvliu,你之恋与真实之恋,主机游戏,2
20151013073751,2015-10-13 15:37,156277,军师很忙yo yo yo,主机游戏,1
20151018142723,2015-10-18 22:27,nvliu,以后直播间名就叫66,主机游戏,2
20151020050534,2015-10-20 13:05,156277,以后直播间名就叫66,主机游戏,2
20151021013135,2015-10-21 09:31,nvliu,游戏：beyond eyes,主机游戏,2
20151024043030,2015-10-24 12:30,nvliu,这个游戏评分9.7服不服,主机游戏,2
20151026050923,2015-10-26 13:09,156277,别说了，干了吧,主机游戏,2
20151029054208,2015-10-29 13:42,nvliu,UNDERTALE二周目结局,主机游戏,2
20151031222129,2015-11-01 06:21,156277,这周心灵砒霜改到周五,主机游戏,2
20151108040927,2015-11-08 12:09,156277,试玩：不机械城,主机游戏,2
20151113160119,2015-11-14 00:01,156277,头疼~请假一天.......,主机游戏,2
20151118190513,2015-11-19 03:05,156277,距离搬家结束还有十二小时,主机游戏,2
20151124072348,2015-11-24 15:23,156277,士别三日当chuox,主机游戏,1
20151130183504,2015-12-01 02:35,156277,聊一个小时睡觉,主机游戏,2
20151206071604,2015-12-06 15:16,156277,今天会早点下,主机游戏,1
20151212015152,2015-12-12 09:51,156277,啊啊啊啊不错吧,主机游戏,2
20151215221946,2015-12-16 06:19,156277,路易鬼屋是个好游戏,主机游戏,2
20151217153557,2015-12-17 23:35,156277,今天下午4点播,主机游戏,2
20151222145352,2015-12-22 22:53,156277,Rusty lake生锈小湖12月章,主机游戏,1
20151227065939,2015-12-27 14:59,156277,身体不舒服请假一天，歉,主机游戏,2
20151231181404,2016-01-01 02:14,156277,哎。。。请病假,主机游戏,2
20160104000832,2016-01-04 08:08,156277,hello  huangbobo,主机游戏,2
