lead_id,surface,url,archive_or_listing_url,source_date,title_or_filename,uploader_or_account,status_2026_09,proves,uncertain,disposition
L01,youku-fan,https://v.youku.com/v_show/id_XODgyNjI1MzQ0.html,https://list.youku.com/albumlist/show/id_23412134.html,2015-01-30 上传,女流斗鱼直播录像 - 20150129 - 超清（15374 秒）,瓦塔诺GO,在线,01-29 整场 256 分钟；B站 20 分钟片段与官方 I'm scared 视频都在其中（音频对齐）,—,已挂 2015-01-29-live-01
L02,youku-fan,https://v.youku.com/v_show/id_XODgzNzgxNzky.html,https://list.youku.com/albumlist/show/id_23412134.html,2015-02-01 上传,女流斗鱼直播录像 - 20150130 - 超清（11353 秒）,瓦塔诺GO,在线,01-30 是直播日（片尾「周末愉快…周一见」，周五）,游戏名未逐一辨认,新建 2015-01-30-live-01
L03,bilibili-fan,https://www.bilibili.com/video/BV1vZ4y1c7ND,,2021-04-11 投稿,女流66 20150626 直播录像（4P，16623 秒）,孤独时代的Fluctlight（mid 2605652）,在线,一场 277 分钟的《蝙蝠侠：阿卡姆骑士》整场，前一天也播了蝙蝠侠,日期：上传者标 0626；PS4 时钟（UTC）＋存档时间推出北京时间 06-27；3～6 月无周末开播、片尾「下周见」偏向周五,新建 2015-06-27-live-01（medium）
L04,acfun-fan,https://www.acfun.cn/v/ac2163929,https://www.acfun.cn/u/1007883,2015-09-05 投稿,第四届MC女流杯建筑大赛 全程录像（3P 182 分钟）,萌得激死（uid 1007883）,在线,09-04 整场，官方优酷 117 分钟是剪辑版（音频对齐）,—,已挂 2015-09-04-live-01，117→182
L05,acfun-fan,https://www.acfun.cn/v/ac2188498,https://www.acfun.cn/u/1007883,2015-09-10 投稿,【女流】9月9日直播 全程录像（rusty lake:the mill / 两款橙光的小游戏）,萌得激死（uid 1007883）,在线,09-09 下午场；《我的老师是只熊》出自此场；09-05～09-08 停播（「从今天开始就恢复直播了」）,—,新建 2015-09-09-live-02；2015-09-11-video-01 改 type video
L06,acfun-fan,https://www.acfun.cn/v/ac2189813,https://www.acfun.cn/u/1007883,2015-09-11 投稿,【女流】知心女流姐姐专业消除各种负能量（Medieval Engineers / 心灵砒霜）,萌得激死（uid 1007883）,在线,09-10 整场 154 分钟；游戏内世界名「Quickstart 2015-09-10 15:42」,—,已挂 2015-09-10-live-01，62→154
L07,bilibili-fan,https://www.bilibili.com/video/BV1TQ4y1h7BG,,2023-11-15 投稿,女流返场聊天2015-11-4（61 分钟）,潇灬潇（mid 21968235）,在线,实为 2015-10-29 晚的返场聊天（今天下午播奇异人生、周四、心灵砒霜可能延期、明天录《千万不要看》）,—,已挂 2015-10-29-live-01；画廊 archive-2015-07 日期 11-04→10-29
L08,youku-fan,https://i.youku.com/i/UOTc0ODQ2ODQ=,https://list.youku.com/albumlist/show/id_26106456.html,2015-09-29～2016-10-27 上传,女流之心灵砒霜 2015-07-05～2016-10-23（52 条）,俺是红领巾（uid UOTc0ODQ2ODQ=）,在线,task-044 找到的「龙灵云」合集即出自此号；2015-10-11～12-19 九场砒霜是本轮新挂的第二来源；播单仍列出已删的 0909、0927,0909、0927 两条已删,9 条补源
L09,sohu-official,https://tv.sohu.com/user/266447868,http://my.tv.sohu.com/pl/9064816/,2015-08-19～2018-06-14,她本人搜狐号「女流的频道」71 条（含 2015 年三/四/五届建筑大赛、砒霜 10.11 上下与 10.25、Undertale P1～P3、千万不能看）,女流的频道（uid 266447868）,在线,与官方优酷同步；新平台镜像；10-30 上传《千万不能看！》印证 10-29 返场所说「明天录」,Undertale P1～P3 分段与既有条目的对应未逐一核,10-11、10-25、08-20 第三届、09-04 补源；新登记来源
L10,acfun-fan,https://www.acfun.cn/v/ac2010055,,2015-07-07 投稿,66阿姨的Besiege（PS：从此女流不手残）（3 分钟）,uid 1515977,在线,07-06「造完飞机去找狗」的「飞机」即 Besiege,片段归属按快照推断,新建 2015-07-06-live-01（medium），挂为 clip
L11,douyu-listing,https://web.archive.org/web/20150710075817/http://www.douyutv.com/directory/isgame,,2015-07-10 15:58,今天就是要找一只狗（正在直播，缩略图 15:52）,—,存档,07-10 开播；与《武则天MC精剪01》主段「今天…要找一只狗」吻合,精剪可能跨场,新建 2015-07-10-live-01；精剪主段 strongly supported
L12,douyu-listing,https://web.archive.org/web/20151016075708/http://www.douyutv.com/directory/all?page=1,,2015-10-16 15:57,刚录视频迟到了（正在直播，缩略图 15:54）,—,存档,10-16 开播,内容不明；仍是第五届候选周五,新建 2015-10-16-live-01
L13,douyu-listing,https://web.archive.org/web/20151223085915/http://www.douyutv.com/directory/cateTag/TVgame/20,,2015-12-23 16:59,任天堂3ds路易鬼屋（正在直播，缩略图 16:51）,—,存档,12-23 开播，3DS 路易鬼屋 → 路易吉洋楼2；反推 12-15 同作,12-15 为推断,新建 2015-12-23-live-01；12-15 补 games
L14,douyu-listing,https://web.archive.org/web/20150911090619/http://www.douyutv.com/directory/columnRoom/game,,2015-09-11 17:06,新作到手：折纸世界（正在直播）,—,存档,09-11 当天直播（此前只有被误记为直播的熊视频）,折纸世界是哪款未确认,新建 2015-09-11-live-01
L15,tieba-crossforum,https://tieba.baidu.com/p/6626921408,,2020-04-18～2024-09-15,潜伏之赤途吧《求助，谁有女流2015年玩赤途的录播呢？》,潜伏之赤途吧,在线,12 楼（2020-12-30）：「15年不露脸的是第一次……16年补时网盘还有，不过大结局被删了，说是女流不让传。后来连前面的也没了」——2015 赤途录像在源头就已删除,—,失落确认；两条网盘分享见 L16/L17
L16,baidu-pan,https://pan.baidu.com/s/1XjRlAN2t4sVnsskFccluhA,https://tieba.baidu.com/p/6626921408,2020-04-25,（提取码被帖子打散，1 楼说是 16 年弹幕版）,赤途吧 2 楼楼主；分享者 uk 3122081609＝贴吧随尘归海（uid 328645217），与 L17 同号（task-049）,分享存在，需提取码,很可能是 2016 年第二次的赤途,未打开，是否含 2015 文件不明,人工线索
L17,baidu-pan,https://pan.baidu.com/s/1ssL7MRu73One8qBM7y7Zvw,https://tieba.baidu.com/p/6626921408,2022-07-13,（分享者显示「随*归海」）,随*归海＝贴吧随尘归海（uid 328645217，头像 md5 相同，task-049）,分享存在，需提取码；2024 年有人说提取码不对,同上,未打开,人工线索
L18,tieba-crossforum,https://tieba.baidu.com/p/4079579128,,2015-10-03 16:00,直播时貌似暴露了自己名字,女流吧,在线,10-03（她生日）16:00 正在直播且聊到本名,当天玩什么不明,缺口图附注
L19,youku-fan,https://v.youku.com/v_show/id_XMTI5ODM3MTkxNg==.html,https://list.youku.com/albumlist/show/id_25960670.html,2015 上传,斗鱼tv女流66（6女神）2015.7.31晚展示自己在2015China joy收到的礼物,广晴空,已屏蔽,07-31 晚可能有一段直播或视频,已屏蔽，无法核实是直播,缺口图 reported-or-probable
L20,youku-fan,https://v.youku.com/v_show/id_XMTMwNzQzMjIxNg==.html,https://list.youku.com/albumlist/show?id=26059237,约 2015-08（按 vid）,斗鱼直播女流草粉之路（22:41）,我今年刚好十六岁,已屏蔽,—,内容与日期不明,仅记录
L21,youku-fan,https://v.youku.com/v_show/id_XMTI4ODU3MTQ2MA==.html,https://list.youku.com/albumlist/show/id_26106456.html,2015-07-19 20:19,女流教你装逼（6:48，剪辑）,俺是红领巾,在线,7 月直播片段合集（橙色 Nike T 恤、米色开衫配酒红长裙两套衣着）,母场未定,仅记录
L22,youku-fan,https://v.youku.com/v_show/id_XMTMzNzEwMjA0OA==.html,https://list.youku.com/albumlist/show/id_26106456.html,2015-09-16,女流之心灵砒霜精编版（一）～（四）（14/25/91/69 分钟）,俺是红领巾,在线,砒霜剪辑,母场未逐一对应,仅记录
L23,acfun-fan,https://www.acfun.cn/v/ac2063732,,2015-07-31 投稿,CJ之行女流66主视角（20 分钟）,sumron（uid 1523655）,在线,ChinaJoy 期间她自己的随身视角视频（酒店大堂、打车），不是直播,—,仅记录
L24,acfun-official,https://www.acfun.cn/u/692514,,2015-09-07 / 2015-12-26,她本人 A站号「【女流】」：HER STORY Part4、Rusty Lake Hotel 生放送录像,【女流】（uid 692514）,在线,与 B站/优酷官方投稿同内容的第三平台镜像,—,仅记录，未新登记账号
L25,acfun-fan,https://www.acfun.cn/u/1274246,,2015-05～06,超级小桀日常直播录像（带日期标题，截至 06-23）,傅洋（uid 1274246）,在线,小桀同期录像，可用来核对她客串或连麦的日子,目录止于 06-23，没有《60秒！》那天,线索
L26,acfun-fan,https://www.acfun.cn/v/ac2034005,,2015-07-18,女流干不出这种事儿~（task-045 已记）,uid 1042937,404；该号现在 0 投稿,—,—,上传者枯竭
L27,bilibili-fan,https://www.bilibili.com/video/BV11f4y147K9,,2021-03-14 投稿,Island in STARTBOUND | 女流 Zard 星界边境 联机,lion84,在线,已知与 zard 合玩的 Starbound 录像是 2016-07-23～08-05（女流录像小屋已收），未见 2015 年实证,—,移出 2015 失落清单
L28,youku-fan,https://v.youku.com/v_show/id_XMTI4MTAxNDk1Mg==.html,https://list.youku.com/albumlist/show/id_26106456.html,2015-07-09 20:23,大雪兔的二五仔（1:10）,俺是红领巾,在线,是炉石主播「炉石雪兔」，与她无关,—,排除
