account,bvid,live_date,capture_window,title,pubdate,parts,duration_min,disposition,entries,note
bili-fan-kassytan,BV1TM411z7jQ,2022-12-08,2022-12-08 15:14→2022-12-08 23:59,女流66直播录像2022-12-08,2022-12-09 01:37,19,524,source-existing,2022-12-08-live-01,
bili-fan-kassytan,BV18V4y1P7aH,2022-12-09,2022-12-09 15:09→2022-12-09 20:03,女流66直播录像2022-12-09,2022-12-09 21:12,11,265,already-attached,2022-12-09-live-01,本轮之前已挂
bili-fan-kassytan,BV1784y1t7RC,2022-12-10,2022-12-10 15:11→2022-12-10 19:26,女流66直播录像2022-12-10,2022-12-10 20:39,9,255,already-attached,2022-12-10-live-01,本轮之前已挂
bili-fan-kassytan,BV19G4y1378Q,2022-12-11,2022-12-11 15:16→2022-12-11 19:37,女流66直播录像2022-12-11,2022-12-11 21:33,10,261,source-existing,2022-12-11-live-01,
bili-fan-kassytan,BV1c14y1T7G1,2022-12-12,2022-12-12 15:06→2022-12-12 19:06,女流66直播录像2022-12-12,2022-12-12 20:23,9,239,already-attached,2022-12-12-live-01,本轮之前已挂
bili-fan-kassytan,BV12R4y1r7BF,2022-12-13,2022-12-13 15:11→2022-12-13 19:55,女流66直播录像2022-12-13,2022-12-13 21:53,10,284,source-existing,2022-12-13-live-01,
bili-fan-kassytan,BV1L44y1Z778,2022-12-16,2022-12-16 15:13→2022-12-17 02:08,女流66-心灵砒霜直播录像2022-12-16,2022-12-17 04:51,23,655,source-existing,2022-12-16-live-01,录像跨零点，按开播日记本日。
bili-fan-kassytan,BV1CG411P7dV,2022-12-17,2022-12-17 15:08→2022-12-17 20:19,女流66-心灵砒霜直播录像2022-12-17,2022-12-17 21:34,12,309,source-existing,2022-12-17-live-01,
bili-fan-kassytan,BV1zG411P7S8,2022-12-18,2022-12-18 15:13→2022-12-18 19:13,女流66-心灵砒霜直播录像2022-12-18,2022-12-18 20:45,9,240,source-existing,2022-12-18-live-01|2022-12-18-live-02,整场录像跨越本日多个条目，本条目对应其中一段：2022-12-18-live-01、2022-12-18-live-02。
bili-fan-kassytan,BV1wg411J7Er,2022-12-19,2022-12-19 15:13→2022-12-19 19:36,女流66-心灵砒霜直播录像2022-12-19,2022-12-20 05:31,10,263,already-attached,2022-12-19-live-01,本轮之前已挂
bili-fan-kassytan,BV158411H76G,2022-12-20,2022-12-20 15:08→2022-12-20 19:50,女流66-心灵砒霜直播录像2022-12-20,2022-12-20 21:26,10,282,source-existing,2022-12-20-live-01,
bili-fan-kassytan,BV1HD4y177tq,2022-12-21,2022-12-21 15:13→2022-12-21 19:12,女流66-心灵砒霜直播录像2022-12-21,2022-12-21 20:32,9,239,source-existing,2022-12-21-live-01,
bili-fan-kassytan,BV143411Q7C5,2022-12-23,2022-12-23 15:13→2022-12-23 20:57,女流66-心灵砒霜直播录像2022-12-23,2022-12-23 22:20,12,343,source-existing,2022-12-23-live-01,
bili-fan-kassytan,BV1dd4y1h7nV,2022-12-24,2022-12-24 15:23→2022-12-24 20:01,女流66-心灵砒霜直播录像2022-12-24,2022-12-24 21:22,10,278,source-existing,2022-12-24-live-01,
bili-fan-kassytan,BV1u8411H72i,2022-12-25,2022-12-25 15:08→2022-12-25 19:55,女流66-心灵砒霜直播录像2022-12-25,2022-12-25 21:07,11,287,source-existing,2022-12-25-live-01,
bili-fan-kassytan,BV1p84y1x7kP,2022-12-26,2022-12-26 15:03→2022-12-26 20:16,女流66-心灵砒霜直播录像2022-12-26,2022-12-26 21:30,11,313,source-existing,2022-12-26-live-01,
bili-fan-kassytan,BV1g14y1w7eN,2022-12-28,2022-12-28 15:08→2022-12-28 20:06,女流66-心灵砒霜直播录像2022-12-28,2022-12-28 21:29,11,298,source-existing,2022-12-28-live-01,
bili-fan-kassytan,BV1zR4y1D7yy,2022-12-29,2022-12-29 15:03→2022-12-29 19:43,女流66-心灵砒霜直播录像2022-12-29,2022-12-29 21:28,10,279,already-attached,2022-12-29-live-01,本轮之前已挂
bili-fan-zytau,BV1Ug41147Mp,2022-12-29,2022-12-29 19:15→2022-12-29 19:43,女流66-女流66 2022-12-30,2022-12-30 02:36,2,25,partial-or-highlight,2022-12-29-live-01,12-29 19:15—19:43 尾段 25 分钟，已被 KassyTan BV1zR4y1D7yy 完整覆盖
bili-fan-kassytan,BV11K411i71X,2022-12-30,2022-12-30 15:03→2022-12-30 20:13,女流66-心灵砒霜直播录像2022-12-30,2022-12-30 21:25,11,310,source-existing,2022-12-30-live-01,
bili-fan-kassytan,BV1b24y1U74s,2022-12-31,2022-12-31 23:25→2023-01-01 02:05,女流66直播录像2022-12-31,2023-01-01 04:15,6,159,already-attached,2022-12-31-live-01,本轮之前已挂
bili-fan-kassytan,BV1CR4y1U7nN,2023-01-01,2023-01-01 15:10→2023-01-01 19:17,女流66直播录像2023-01-01,2023-01-01 20:32,9,246,source-existing,2023-01-01-live-01,
bili-fan-kassytan,BV1EP4y1i7iG,2023-01-02,2023-01-02 15:05→2023-01-02 20:36,女流66直播录像2023-01-02,2023-01-02 22:06,12,331,already-attached,2023-01-02-live-01,本轮之前已挂
bili-fan-kassytan,BV1b8411E72y,2023-01-03,2023-01-03 15:15→2023-01-03 19:12,女流66直播录像2023-01-03,2023-01-03 20:48,9,236,source-existing,2023-01-03-live-01,
