target_id,priority,category,date,archive_entries,title,why_it_matters,existence_evidence,known_dead_links,surviving_or_recovered_sources,status_2026_09_24,best_next_lead
T01,P1,重点目标,2016-01-28～2016-01-29,2016-01-28-live-01 | 2016-01-28-live-02 | 2016-01-29-live-01,《潜伏之赤途》2016 年第二次完整游玩（含大结局）,她最有代表性的橙光长剧情直播之一；01-28 晚场的两段优酷录像 2026-09-23 刚下架，档案只剩 01-28 下午的后 113 分钟,优酷播单「女流赤途」（上传者乱世帝王于歪熊）；贴吧 2016 专贴「1/28 潜伏之赤途」；存档直播间页 2016-01-31 快照标题「有点喝多了」、缩略图 2016-01-30 00:58,v.youku.com XMTQ1OTY4MjgwMA==（赤途2）、XMTQ1OTcyMjU5Mg==（赤途3），2026-09-23 已下架,B站 BV1Kp421D7vF（游戏学姐夫合集 4P，2024-04-28）：P1+P2＝01-28 下午整场 4:13:15、P3＝01-28 晚场 2:43:56、P4＝01-29 大结局 2:32:48；优酷 XMTQ1OTQzMTUzMg== 仍在（01-28 下午后 113 分钟）,已找回可播放来源,为 BV1Kp421D7vF 找第二个镜像并留 Wayback 快照（现在三场只剩这一份）；素材来源先看投稿简介与评论区，可能是赤途吧 L16「16 年弹幕版」网盘（随尘归海），也可能是录像小屋 2017 年前后传过、2019 年已下架的「当年全程」（task-049 §3）
T02,P1,重点目标,2015-04-10 / 04-13 / 04-15,2015-04-10-live-01,《潜伏之赤途》2015 年首次游玩（背对镜头时期，含 04-15 第一次大结局）,直播第一年最受追忆的系列之一，吧友多年反复求档,04-10 列表页快照标题「霸道间谍爱上。。我」；吧友转述 04-10、04-13 两天（tieba p/4341245430）与 04-15 大结局（p/5417340368）,录像组网盘（逐日盘 1eQIvAOM → 1hq6NYbM，及 2016-10 重分享的 6.29 前合集 1jIJhhnK）；2017-11 有人说「置顶的貌似被和谐了」,无。赤途吧 2020-12 证词：「16年补时网盘还有，不过大结局被删了，说是女流不让传。后来连前面的也没了」；2017-11 吧主 ardea1347「第一次的就别想了」，2019-01 答有没有网盘「没有」。2016-09 gijj1986 录像盘里有含结局的「潜伏赤途」文件夹，哪一年那次不明（task-049 §3）,无公开线索,公开线索只剩赤途吧 L16/L17 两个带提取码的分享（同属随尘归海，多半是 2016 版，未打开）：拼出正确提取码后只看文件名与日期。04-13、04-15 两天在档案里还没有条目（只有转述），找到录像再建
T03,P1,重点目标,2015-09-27,2015-09-27-live-01,心灵砒霜 2015-09-27（第一次直播落泪）,她直播生涯里被反复提起的一场,吧友合集帖 p/4079886537 12 楼；同日《怎么突然哭了》p/4068275521,v.youku.com XMTM1MDQ1NDE4OA==（113 分钟节选，上传者俺是红领巾，已删）；其余 2 小时 40 分因含零食店广告当时就没上传,无,来源已失效·元数据在,优酷 XMTM1MDQ1NDE4OA 的转载或截图（上传者「俺是红领巾」、贴出者龙灵云只作溯源锚点）。原文件当年应在录像组逐日盘、之后应进 6.29 以后合集 1eSB54I2——这是推断，没见过目录
T04,P1,重点目标,2015-12-11,2015-12-11-live-01,与陈一发逛故宫（户外）,两位主播少有的线下同框户外，弹幕版曾在优酷；陈一发一方的录像随其 2018 年封禁大多已不在,贴吧《【录像】20151211 女流发姐逛故宫（弹幕版）》p/4208485284；录制者本人在妖精少女吧 p/4208487661 7 楼贴出同一优酷地址；陈一发儿吧 2016-01 有人说是看了「陈一发女流游故宫」才入坑,v.youku.com XMTQxMDA0ODQ1Ng==（70 分钟弹幕版，录制者「夜宴77910」，已删）,无（B站、A站按「陈一发 故宫」「发姐 故宫」检索均无）,来源已失效·元数据在,优酷 XMTQxMDA0ODQ1Ng 在别处的转载或截图（录制者「夜宴77910」只作溯源锚点）；陈一发一方 2015 年录像的公开转载
T05,P1,重点目标,2015-07～2015-11,2015-07-06-live-01 | 2015-07-10-live-01 | 2015-07-13-live-01 | 2015-08-03-live-01 | 2015-08-31-live-01 | 2015-10-22-live-01 | 2015-11-05-live-01 | 2015-07-28-live-01 | 2015-08-20-live-01 | 2015-09-04-live-01,大周 MC 一周目（「武则天MC」「六则天」、五届女流杯建筑大赛）,大周 MC 这条延续多年的长线的起点；日常场次几乎全无录像,列表页/直播间快照与贴吧同期帖（task-038～046）；2017-08 吧主回忆一周目始于「15.07.4」（tieba p/5277161095，转述）,2015-06-29 后录像网盘 1eSB54I2（已失效）；2019-09 吧主答「女流优酷有建筑大赛的录像」,建筑大赛：第一届 07-28、第三届 08-20 官方优酷全集；第四届 09-04 A站萌得激死全程 + 官方优酷/搜狐剪辑版；第二、五届只有官方优酷（未定日）；武则天MC精剪01（官方优酷）。日常场次只有 07-06 一段 3 分钟 A站片段,部分找回,① 给官方优酷上的建筑大赛找非优酷镜像（目前多为优酷单源）；② 07-04 起的一周目开局日需要当日录像或截图才能建条目；日常场次原在 6.29 以后合集 1eSB54I2（已失效，只作溯源）
T06,P2,重点目标,2018-08-10 / 第二天（日期未定）/ 2018-08-13,2018-08-10-live-01 | 2018-08-13-live-01 | 2018-08-17-video-01,大周MC 第四目 前三天,第四目的开局；录像当时就因地图侵权被删，是有明确删除原因的缺口,贴吧逐日记录；010陈 2018-08-17 微博「第一、二集录像已被删」；导航帖 2018-08-18「想看前三天的MC」,2018 录像网盘 1qYUievE（已失效）；原录像小屋投稿（被删）,08-10 两段直播片段：BV1ps411T77E（分P 名「女流-2018.8.10-大周MC第四目：钓鱼大赛」）、BV1dW41197kd（分P「20180810」）；010陈 第一、二集剧情简介 BV1GW411R7d4（此前只有微博短链）,部分找回,第二天是哪天仍未定（08-11 是怪物猎人、08-12 是砒霜）；录像小屋当年已删投稿的 Wayback 页；010陈 简介视频画面里可辨认的日期
T07,P2,重点目标,2016-02-24 / 03-02 /（03-09）,2016-02-24-live-01 | 2016-03-02-live-01 | 2016-03-09-live-01,《逆袭之星途闪耀》前几天（录像小屋起录前）,录像小屋 2016-05-31 起的系列标题是「逆袭 dayX」——前面几天从来没有公开录像编号,直播间快照 02-24「逆途更新了」、03-09「逆袭更新啦」；贴吧 2016 专贴 2/24、3/2,2016 年 1-4 月录像网盘 1o7NbxDg（已失效）,官方优酷《【女流直播生放送】逆袭》XMTUwNTAwNjI1Ng==（139 分钟，2016-03-19 上传），是其中一天，但哪天未定（task-042：从游戏开场玩起，更像 02-24）,部分找回,给优酷这段定日：片中念到作者「改为每周日晚更新」的公告，找该作 2016 年 2～3 月的更新公告日期即可夹定；03-09 档案记星露谷、贴吧记逆袭，冲突待解
T08,P2,重点目标,不明,,《最后生还者》（第一部）直播,维护者点名的线索；2026-03 有吧友在女流吧求录像，说「网上搜全是404」,只有这一条求档帖（tieba p/10571400321）。贴吧 2016～2023 逐日记录、2015 年全部贴吧帖子、官方优酷 392 条、各录像号目录与 B站/A站/贴吧全站检索都没有她玩第一部的记录；2020-06-19～21 是第二部,求档帖所说的 404 链接没有给出,无,未决,先证明存在：她 2016-04-21「2015 年玩过的游戏」微博（需登录）；ardea1347 按节目表回答过的旧帖里是否提到（见 task-049 §9）
T09,P1,重点目标,2015-01-29～2018,（2015～2018 全部无录像条目）,贴吧录像组 / 录像师傅的百度网盘,2015 年的录像「只有网盘」（吧务 2018-02），2016～2018 也按月全存过；这是能一次性补回几十个无录像直播日的唯一已知来源,女流吧两代导航帖（p/4973093360、p/5701625222）、2015-08 吧务换链帖 p/4008992989、粉丝导航站「女流亚洲研究中心」2016 快照的「录像下载」,25 个分享码全部「链接不存在」（21 个录像 + 节目表 2、书单 1、录像小屋 2018 简介 1eRSk8ro 1）：2015 录像组 1pZdNo（07-22 单场）、逐日盘 1eQIvAOM（2015-08-30）→ 1hq6NYbM（2015-09-26）、1mgB3ucw（2015-11）；2017 盘 1gfHpj39；导航站 1nveXrap、1skG6ayL；2018 导航帖 2015 年两段 1jIJhhnK、1eSB54I2，2016 年逐月 1o7NbxDg、1o7AQiiY、1slDHYQp、1kVzbiRl、1c1PxA4g、1skMpmUT、1o85aFvs、1eR7IBgm、1dEJpXzr 与总链 130_XKjBl-dxVnVaQTRL5MQ，2017 1boIM5nL，2018 1qYUievE；节目表 1qY4ghcS、1kUFPaz9；书单 1pL97MYJ。Wayback 均未存可用页面，两个账号的 share/home 页也没有抓取,无公开副本。分享者账号仍存在：uk 3859185200＝贴吧 gijj1986（「录像师傅」的盘，所有滚动更新的录像盘）、uk 3406207715＝贴吧 ardea1347／沈锋Ashen（2015 年两个 6.29 合集、节目表、书单）；头像 md5 确认（task-049）。公开分享列表需登录才能看,私人/网盘线索,持有人现实中联系不上，只作溯源锚点（gijj1986、ardea1347、梦缘系1/葵kiss😘、Iam左丞相）。Wayback 已查尽；剩下的公开证据只有吧友转贴与截图里残留的文件名（已知唯一一个是 古墓丽影10-2.flv），以及 ardea1347 按节目表回答具体日期的旧帖
T10,P2,重点目标,2015-05-16～2015-06-22,,2015 年最大的空洞,只有 05-21、06-04 两个开播日证据，其余一片空白,task-044 §9,2015-06-29 前录像网盘 1jIJhhnK（已失效）；2018-05 有人说「15年6月29日到7月底之间的录播」网盘里也没有,无,无公开线索,同 T09（6.29 前合集 1jIJhhnK 在 ardea1347 名下，已失效）；另外 A站傅洋（uid 1274246）的超级小桀同期录像可核对连麦日
