recording,platform,frames_sampled,taskbar_frames,clock_reading,verdict
ac1691798,AcFun,123,10,2015/1/21 18:51,与 2015-01-21-live-01 一致
ac1694027,AcFun,100,3,2015/1/22 16:03,与 2015-01-22-live-01 一致
ac1696480,AcFun,149,9,无可读时钟（命中均为游戏/界面误判，或采集窗口不含任务栏）,—
ac1708393,AcFun,88,1,—（唯一一次任务栏被摄像头挡住）,—
ac1719337,AcFun,42,9,2015/2/2 15:35（36:40；资源管理器文件时间同为 2015/2/2 15:35）,定案 2015-02-02，新建 2015-02-02-live-01
ac1733926,AcFun,134,25,2015/1/27 16:42～16:43（58:30）,改为 2015-01-27，并入 2015-01-27-live-01
ac1736317,AcFun,157,3,2015/2/9 17:01～17:02,与 2015-02-09-live-01 一致
ac1736364,AcFun,107,12,2015/2/9 15:42～15:50,与 2015-02-09-live-01 一致
ac1762715,AcFun,116,31,约 2015/2/10 17:0x（360p，勉强可读）,与 2015-02-10-live-01 一致
ac1805046,AcFun,100,17,2015/3/23 下午 2:27～2:57,小桀直播（女流客串），不是她的场次
ac1816049,AcFun,99,20,无可读时钟（命中均为游戏/界面误判，或采集窗口不含任务栏）,—
ac1839929,AcFun,174,0,无任务栏（全屏采集卡/游戏画面）,—
ac1894602,AcFun,166,26,无可读时钟（命中均为游戏/界面误判，或采集窗口不含任务栏）,—
ac1996340,AcFun,84,4,无可读时钟（命中均为游戏/界面误判，或采集窗口不含任务栏）,—
ac1996935,AcFun,64,10,2015/6/29 18:03～18:10（40～47 分）,定案 2015-06-29，新建 2015-06-29-live-01
ac2007546,AcFun,108,0,无任务栏（全屏采集卡/游戏画面）,—
ac2012193,AcFun,110,0,无任务栏（全屏采集卡/游戏画面）,—
ac2046553,AcFun,89,10,无可读时钟（命中均为游戏/界面误判，或采集窗口不含任务栏）,—
ac2074580,AcFun,50,0,无任务栏（全屏采集卡/游戏画面）,—
ac2093289,AcFun,91,0,无任务栏（全屏采集卡/游戏画面）,—
ac2095682,AcFun,210,0,无任务栏（全屏采集卡/游戏画面）,—
ac2353769,AcFun,116,23,无可读时钟（命中均为游戏/界面误判，或采集窗口不含任务栏）,—
ac2353998,AcFun,144,0,无任务栏（全屏采集卡/游戏画面）,—
ac2359238,AcFun,104,0,无任务栏（全屏采集卡/游戏画面）,—
ac2359321,AcFun,72,7,无可读时钟（命中均为游戏/界面误判，或采集窗口不含任务栏）,—
ac2359687,AcFun,26,0,无任务栏（全屏采集卡/游戏画面）,—
ac2361862,AcFun,123,18,无可读时钟（命中均为游戏/界面误判，或采集窗口不含任务栏）,—
ac2368861,AcFun,96,17,无可读时钟（命中均为游戏/界面误判，或采集窗口不含任务栏）,—
ac2376661,AcFun,34,0,无任务栏（全屏采集卡/游戏画面）,—
ac2404437,AcFun,169,0,无任务栏（全屏采集卡/游戏画面）,—
ac2434832,AcFun,161,20,无可读时钟（命中均为游戏/界面误判，或采集窗口不含任务栏）,—
BV1Px411A7NG p1,Bilibili,34,1,匿名只取到 378p，不可读,需登录取 720p 以上
