date,sheet,items
2015-01-21,2015,节奏天国 | 马里奥赛车 | 伊甸园 | I wanna be the tribute! | 马里奥3D世界 | 大金刚（Donkey kong）
2015-01-23,2015,节奏天国 | Lumino city
2015-01-24,2015,节奏天国 | Lumino city
2015-01-29,2015,舞力全开 | 节奏天国 | Imscared | 马里奥3D世界 | 变态人生大冒险 | I wanna
2015-01-30,2015,舞力全开 | 节奏天国 | 谁都不用死 | 变态人生大冒险
2015-02-01,2015,
2015-02-02,2015,舞力全开 | 节奏天国 | Imscared | 马里奥3D世界 | 变态人生大冒险 | 玩具熊的午夜后宫 | 别拉在裤子上 | I wanna | March
2015-02-03,2015,舞力全开 | 7 days | I wanna
2015-02-04,2015,Journey | Flow | I wanna | Super Wolfenstein HD | Shot Aground
2015-02-05,2015,去月球
2015-02-06,2015,去月球 | I wanna
2015-02-09,2015,舞力全开 | 太鼓达人 | I wanna | Don’t escape | 马里奥世界u | Don’t escape2
2015-02-10,2015,舞力全开 | 太鼓达人 | DOTA2 | 马里奥世界u
2015-02-11,2015,Braid 时空幻境
2015-02-27,2015,机械迷城
2015-02-28,2015,机械迷城 | 我的战争 | shave time | how to cook everything
2015-03-02,2015,超凡双生 | 铲子骑士 | 这是我的战争 | 我的世界MC
2015-03-03,2015,生化危机启示录2
2015-03-04,2015,马里奥3D世界
2015-03-05,2015,生化危机启示录2 | 永不孤单 | 马里奥世界3D
2015-03-07,2015,修电脑 | 你猜我画 | 记事本聊天
2015-03-10,2015,超凡双生
2015-03-11,2015,超凡双生 | 马里奥3D世界
2015-03-12,2015,生化危机启示录2
2015-03-17,2015,马里奥3D世界
2015-03-18,2015,奥日与黑暗森林
2015-03-19,2015,马里奥3D世界 | 生化危机启示录2
2015-03-20,2015,马里奥3D世界
2015-03-21,2015,马里奥3D世界 | 奥日与黑暗森林 | Love burger | Juxtapose | 变形虫 | 异形虫历险记2 | Mu complex | 避难所2
2015-03-24,2015,忍龙 | 扫雷
2015-03-25,2015,忍龙
2015-03-26,2015,GTA
2015-03-27,2015,GTA
2015-03-30,2015,GTA | 血源诅咒
2015-03-31,2015,GTA | 海贼无双 | 小小大星球
2015-04-01,2015,GTA5
