date,weekday,schedule_items,category_code,category,live_entries_before,disposition,action,live_entries_after
2015-01-21,周三,节奏天国 | 马里奥赛车 | 伊甸园 | I wanna be the tribute! | 马里奥3D世界 | 大金刚（Donkey kong）,0,已在档,2015-01-21-live-01,首播，节奏天国吻合。节目单另列马里奥赛车、伊甸园、I wanna be the tribute!、马里奥3D世界、大金刚；现存录像未逐段核对，未补,,2015-01-21-live-01
2015-01-23,周五,节奏天国 | Lumino city,0,已在档,2015-01-23-live-01,节奏天国、Lumino City 吻合,,2015-01-23-live-01
2015-01-24,周六,节奏天国 | Lumino city,4,仅节目单（候选）,,内容与 01-23 整行相同；贴吧「主播特写」第一集截图衣着同 01-23，不是 01-24 开播证据。可能是 01-23 同一场的重复或延续,,
2015-01-29,周四,舞力全开 | 节奏天国 | Imscared | 马里奥3D世界 | 变态人生大冒险 | I wanna,2,既有条目补内容,2015-01-29-live-01,录像画面有节奏游戏混音关与跳舞游戏，与节目单节奏天国、舞力全开相合,补 rhythm-heaven、just-dance,2015-01-29-live-01
2015-01-30,周五,舞力全开 | 节奏天国 | 谁都不用死 | 变态人生大冒险,2,既有条目补内容,2015-01-30-live-01,录像画面有跳舞游戏，与节目单舞力全开相合；「中文文字推理游戏」可能即节目单的《谁都不用死》，未证实,补 just-dance,2015-01-30-live-01
2015-02-01,周日,,5,与更强的一手证据矛盾,,空行（无内容）。01-30 片尾「周末愉快……周一见」，周末本不开播,,
2015-02-02,周一,舞力全开 | 节奏天国 | Imscared | 马里奥3D世界 | 变态人生大冒险 | 玩具熊的午夜后宫 | 别拉在裤子上 | I wanna | March,0,已在档,2015-02-02-live-01,现存 41 分钟 I wanna 吻合；节目单另列多款（与 01-29 行几乎相同），录像只是一段，未补,,2015-02-02-live-01
2015-02-03,周二,舞力全开 | 7 days | I wanna,4,仅节目单（候选）,,舞力全开、7 days、I wanna，无独立证据,,
2015-02-04,周三,Journey | Flow | I wanna | Super Wolfenstein HD | Shot Aground,0,已在档,2015-02-04-live-01,风之旅人、flOw、Shot Aground 吻合（PS3 时钟定日）；节目单另列 I wanna、Super Wolfenstein HD，录像未见，未补,,2015-02-04-live-01
2015-02-05,周四,去月球,0,已在档,2015-02-05-live-01,去月球吻合（存档时间定日）,,2015-02-05-live-01
