date,weekday,schedule_items,category_code,category,live_entries_before,disposition,action,live_entries_after
2016-01-01,五,新年砒霜,0,已有条目·内容一致,2016-01-01-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-01-01-live-01
2016-01-03,日,黄渤签名照 | 尼德霍格Nidhogg,0,已有条目·内容一致,2016-01-03-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-01-03-live-01
2016-01-04,一,"命运交叉的旅店 | 放逐之城 | 请出示证件Paper,please",2,已有条目·缺内容,2016-01-04-live-02,节目单另记「命运交叉的旅店」，条目未收；只有节目单一处，未改条目,,2016-01-04-live-02
2016-01-05,二,谁是你爸爸Who's your Daddy | 星之契约 | MC直播服,2,已有条目·缺内容,2016-01-05-live-01,节目单另记「星之契约、MC直播服」，条目未收；只有节目单一处，未改条目,,2016-01-05-live-01
2016-01-06,三,MC直播服,1,独立证实·新建直播日,2016-01-06-live-01,存档直播间页缩略图 2016-01-06 19:17，标题「来吧来吧撸一棵树」，与节目单「MC直播服」相合,新建 2016-01-06-live-01（high，MC）,2016-01-06-live-01
2016-01-07,四,围攻Besiege | 浴桶拆封,2,已有条目·缺内容,2016-01-07-live-01,节目单另记「浴桶拆封」，条目未收；只有节目单一处，未改条目,,2016-01-07-live-01
2016-01-08,五,逆转裁判：复苏的逆转,2,已有条目·缺内容,2016-01-08-live-01,节目单与葵kiss 同期贴吧记录都记这款游戏，条目原先没登记,补登 gyakuten-saiban-1,2016-01-08-live-01
2016-01-10,日,怼黄渤 | 心灵砒霜 | MC参加史诗工坊比赛,2,已有条目·缺内容,2016-01-10-live-01,节目单另记「怼黄渤、MC参加史诗工坊比赛」，条目未收；只有节目单一处，未改条目,,2016-01-10-live-01
2016-01-11,一,Poly Bridge,0,已有条目·内容一致,2016-01-11-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-01-11-live-01
2016-01-12,二,Poly Bridge,1,独立证实·新建直播日,2016-01-12-live-01,存档直播间页缩略图 2016-01-12 17:58 证实开播；内容只有节目单 Poly Bridge，01-11、01-19 一手也是 Poly Bridge,新建 2016-01-12-live-01（medium，Poly Bridge）,2016-01-12-live-01
