n,tid,floor,post_cst,image_url,category,bearing
0,3541217131,5,2015-01-21 17:39,https://imgsrc.baidu.com/forum/pic/item/cf06a5a1cd11728b0ad383dccbfcc3cec2fd2c53.jpg,stream-webcam,01-21 首播截图
1,3541432047,1,2015-01-21 17:47,https://imgsrc.baidu.com/forum/pic/item/658f81510fb30f24276d9afdcb95d143ac4b035a.jpg,other,水帖／表情／写真／同人／非直播内容
2,3544935203,1,2015-01-23 16:53,https://imgsrc.baidu.com/forum/pic/item/7d217dd0f703918f47100023523d269758eec418.jpg,game-screenshot,01-23 Lumino City 解谜画面
3,3545364854,1,2015-01-23 21:06,https://imgsrc.baidu.com/forum/pic/item/2bfcf9cd7b899e51702428fe41a7d933c9950db3.jpg,stream-webcam,01-23 直播截图（深蓝针织）
4,3545364854,1,2015-01-23 21:06,https://imgsrc.baidu.com/forum/pic/item/95d2ac1c8701a18b294d00a59d2f07082938feb8.jpg,stream-webcam,01-23 直播截图（深蓝针织）
5,3545364854,1,2015-01-23 21:06,https://imgsrc.baidu.com/forum/pic/item/99d0387f9e2f07089a7a38eaea24b899a801f2e7.jpg,stream-webcam,01-23 直播截图（深蓝针织）
6,3545364854,1,2015-01-23 21:06,https://imgsrc.baidu.com/forum/pic/item/b1c566310a55b3197e80909f40a98226cefc17e0.jpg,stream-webcam,01-23 直播截图（深蓝针织）
7,3546985847,2,2015-01-24 19:21,https://imgsrc.baidu.com/forum/pic/item/66f6e836afc37931423fc1f9e8c4b74542a91194.jpg,stream-webcam,「主播特写」第一集，01-24 发，截的是 01-23 那场（同一身深蓝针织）
8,3550944499,1,2015-01-26 20:26,https://imgsrc.baidu.com/forum/pic/item/9c0445afa40f4bfb0eb3159c004f78f0f6361899.jpg,stream-webcam,「主播特写」第二集，01-26 当晚发，浅蓝毛衣白衬衫领 → 01-26 开播（新建 2015-01-26-live-01）
9,3550944499,1,2015-01-26 20:26,https://imgsrc.baidu.com/forum/pic/item/e3fcb051f3deb48f193d2a16f31f3a292cf578ac.jpg,stream-webcam,「主播特写」第二集，01-26 当晚发，浅蓝毛衣白衬衫领 → 01-26 开播（新建 2015-01-26-live-01）
10,3550944499,1,2015-01-26 20:26,https://imgsrc.baidu.com/forum/pic/item/9942f4f81a4c510f899069d26359252dd52aa5ac.jpg,stream-webcam,「主播特写」第二集，01-26 当晚发，浅蓝毛衣白衬衫领 → 01-26 开播（新建 2015-01-26-live-01）
11,3550944499,1,2015-01-26 20:26,https://imgsrc.baidu.com/forum/pic/item/8c5ece09b3de9c827b3072476f81800a18d843a3.jpg,stream-webcam,「主播特写」第二集，01-26 当晚发，浅蓝毛衣白衬衫领 → 01-26 开播（新建 2015-01-26-live-01）
12,3550944499,1,2015-01-26 20:26,https://imgsrc.baidu.com/forum/pic/item/45b3d6ea15ce36d38e3809f839f33a87e850b1c4.jpg,stream-webcam,「主播特写」第二集，01-26 当晚发，浅蓝毛衣白衬衫领 → 01-26 开播（新建 2015-01-26-live-01）
13,3550944499,1,2015-01-26 20:26,https://imgsrc.baidu.com/forum/pic/item/b157ecdeb48f8c5402874ee739292df5e1fe7fac.jpg,stream-webcam,「主播特写」第二集，01-26 当晚发，浅蓝毛衣白衬衫领 → 01-26 开播（新建 2015-01-26-live-01）
14,3550944499,1,2015-01-26 20:26,https://imgsrc.baidu.com/forum/pic/item/61387809c93d70cffac620c5fbdcd100bba12bc4.jpg,stream-webcam,「主播特写」第二集，01-26 当晚发，浅蓝毛衣白衬衫领 → 01-26 开播（新建 2015-01-26-live-01）
15,3550944499,1,2015-01-26 20:26,https://imgsrc.baidu.com/forum/pic/item/0e3e4c43fbf2b211f5110f86c98065380dd78ec5.jpg,stream-webcam,「主播特写」第二集，01-26 当晚发，浅蓝毛衣白衬衫领 → 01-26 开播（新建 2015-01-26-live-01）
16,3552806473,1,2015-01-27 19:55,https://imgsrc.baidu.com/forum/pic/item/2b2cd95c103853436c4a39159713b07eca808807.jpg,stream-webcam,「主播特写」第三集，01-27 当晚发，青绿 V 领 → 与 ac1733926 摄像头衣着一致
17,3552806473,1,2015-01-27 19:55,https://imgsrc.baidu.com/forum/pic/item/d85a0f385343fbf22aa91817b47eca8065388f07.jpg,stream-webcam,「主播特写」第三集，01-27 当晚发，青绿 V 领 → 与 ac1733926 摄像头衣着一致
18,3552806473,1,2015-01-27 19:55,https://imgsrc.baidu.com/forum/pic/item/0e3e4c43fbf2b2110aab3b7ace8065380cd78e07.jpg,stream-webcam,「主播特写」第三集，01-27 当晚发，青绿 V 领 → 与 ac1733926 摄像头衣着一致
19,3552806473,1,2015-01-27 19:55,https://imgsrc.baidu.com/forum/pic/item/4d45e4f2b21193132ac6418461380cd791238d07.jpg,stream-webcam,「主播特写」第三集，01-27 当晚发，青绿 V 领 → 与 ac1733926 摄像头衣着一致
20,3552806473,1,2015-01-27 19:55,https://imgsrc.baidu.com/forum/pic/item/e5f4ad119313b07e5138ee3c08d7912397dd8c07.jpg,stream-webcam,「主播特写」第三集，01-27 当晚发，青绿 V 领 → 与 ac1733926 摄像头衣着一致
21,3552806473,1,2015-01-27 19:55,https://imgsrc.baidu.com/forum/pic/item/ac178c13b07eca80f98087d3952397dda1448307.jpg,stream-webcam,「主播特写」第三集，01-27 当晚发，青绿 V 领 → 与 ac1733926 摄像头衣着一致
22,3552806473,1,2015-01-27 19:55,https://imgsrc.baidu.com/forum/pic/item/8d15af7eca806538916f1a2793dda144ad348207.jpg,stream-webcam,「主播特写」第三集，01-27 当晚发，青绿 V 领 → 与 ac1733926 摄像头衣着一致
23,3552806473,1,2015-01-27 19:55,https://imgsrc.baidu.com/forum/pic/item/ae78d58065380cd70f9b1cd9a544ad3459828107.jpg,stream-webcam,「主播特写」第三集，01-27 当晚发，青绿 V 领 → 与 ac1733926 摄像头衣着一致
