tid,created_cst,reply_count,title,bearing,url
3503934685,2015-01-02 22:09,96,闲来无事不如灌水。,,https://tieba.baidu.com/p/3503934685
3512536528,2015-01-06 23:09,16,有谁发现了66的一个口头禅？,,https://tieba.baidu.com/p/3512536528
3519696099,2015-01-10 17:15,7,【女流】90秒作画大挑战,,https://tieba.baidu.com/p/3519696099
3530484387,2015-01-15 19:41,7,【女流】巩固我FPS女王的地位,,https://tieba.baidu.com/p/3530484387
3530486313,2015-01-15 19:42,5,【女流】小小大星球试玩解说,,https://tieba.baidu.com/p/3530486313
3541217131,2015-01-21 15:34,32,女流在斗鱼直播呢，献上地址,佐证 2015-01-21,https://tieba.baidu.com/p/3541217131
3541432047,2015-01-21 17:47,0,转贴:【女流】66的日常练脑,,https://tieba.baidu.com/p/3541432047
3543090145,2015-01-22 16:29,25,新人来这里报道啦。,,https://tieba.baidu.com/p/3543090145
3543181038,2015-01-22 17:25,0,【女流】小小大星球3探索之旅,,https://tieba.baidu.com/p/3543181038
3544895785,2015-01-23 16:29,1,66现在在斗鱼直播的游戏叫什么啊？,佐证 2015-01-23,https://tieba.baidu.com/p/3544895785
3544935203,2015-01-23 16:53,3,逼疯了流酱的游戏 。。快来大神解决一下啊,,https://tieba.baidu.com/p/3544935203
3545290080,2015-01-23 20:27,6,求助～～！ 为啥我在手机斗鱼上看女流无限连接？？,,https://tieba.baidu.com/p/3545290080
3545364854,2015-01-23 21:06,29,今天66在斗鱼直播  主播被蹂躏惨了,佐证 2015-01-23,https://tieba.baidu.com/p/3545364854
3546971327,2015-01-24 19:12,3,女流春节去海南过，有组团一起去看咱妈的么？？,,https://tieba.baidu.com/p/3546971327
3546985847,2015-01-24 19:20,4,66斗鱼直播 神秘的手,,https://tieba.baidu.com/p/3546985847
3550944499,2015-01-26 20:26,5,66斗鱼直播  艾瑞克特写,,https://tieba.baidu.com/p/3550944499
3552806473,2015-01-27 19:55,22,66斗鱼直播 主播特写第三集,,https://tieba.baidu.com/p/3552806473
3552889698,2015-01-27 20:38,9,女流跟籽岷是什么关系？,,https://tieba.baidu.com/p/3552889698
3553938665,2015-01-28 12:21,11,深一模语文的破鬼题,,https://tieba.baidu.com/p/3553938665
3554022383,2015-01-28 13:11,3,希望女流直播难玩游戏！,,https://tieba.baidu.com/p/3554022383
3555238934,2015-01-29 00:38,10,哎 现在想想曾经加上了66的qq但是感觉不是又把她给拉黑了,,https://tieba.baidu.com/p/3555238934
3557257197,2015-01-30 07:39,20,【66】好片，烂片，那些年我看过的电影,,https://tieba.baidu.com/p/3557257197
3561749699,2015-02-01 17:10,38,66斗鱼直播录像高清完整版下载,录像组下载帖（网盘已失效）,https://tieba.baidu.com/p/3561749699
3563732365,2015-02-02 18:37,8,66斗鱼直播 主播特写第五集,,https://tieba.baidu.com/p/3563732365
3566566937,2015-02-04 09:17,6,【何处望神州】这个吧好冷清啊，，我决定冒个泡说明这里还有人,,https://tieba.baidu.com/p/3566566937
3567747052,2015-02-04 20:49,2,关于66直播房管乱封人的一些看法,,https://tieba.baidu.com/p/3567747052
3567840541,2015-02-04 21:36,1,66斗鱼直播 主播特写第六集,,https://tieba.baidu.com/p/3567840541
3568029714,2015-02-04 23:05,3,【何处望神州】每日一帖说明我闲着。。,,https://tieba.baidu.com/p/3568029714
3569859006,2015-02-05 22:26,7,66斗鱼直播 主播特写第七集,,https://tieba.baidu.com/p/3569859006
3570068890,2015-02-06 00:18,2,【何处望神州】实力水贴，没人我也水！,,https://tieba.baidu.com/p/3570068890
3572732348,2015-02-07 14:54,3,还爱,,https://tieba.baidu.com/p/3572732348
3576724920,2015-02-09 17:58,1,转贴:TO THE MOON,佐证 2015-02-09,https://tieba.baidu.com/p/3576724920
3576972423,2015-02-09 20:24,8,女流又不直播了,,https://tieba.baidu.com/p/3576972423
3581282338,2015-02-12 01:57,31,【何处望神州】关于直播问题可以咨询,,https://tieba.baidu.com/p/3581282338
3582063415,2015-02-12 15:08,39,流感一群都是变态,,https://tieba.baidu.com/p/3582063415
3582361161,2015-02-12 18:13,14,问个问题，女流胸前的项链分别是什么材质？有懂行的么？好奇,,https://tieba.baidu.com/p/3582361161
3583536278,2015-02-13 11:14,12,【2014我的bilibili】 一起来搭乘时光机器吧,,https://tieba.baidu.com/p/3583536278
3584579775,2015-02-13 21:50,12,祝贺！女流群第一对情侣！,,https://tieba.baidu.com/p/3584579775
3585283061,2015-02-14 09:44,1,年好,,https://tieba.baidu.com/p/3585283061
3591981712,2015-02-18 09:49,10,新年快乐～～米那桑,,https://tieba.baidu.com/p/3591981712
3592958120,2015-02-18 21:40,11,新年快乐！,,https://tieba.baidu.com/p/3592958120
3593385890,2015-02-19 01:23,10,流感们给66的私房话——2015新春祝福,,https://tieba.baidu.com/p/3593385890
3595726336,2015-02-20 20:48,9,一年多没有关注女流了，今天突然发现她爆照了，有谁可以解释一下,,https://tieba.baidu.com/p/3595726336
3596802659,2015-02-21 16:49,7,我就发个图，不说话,,https://tieba.baidu.com/p/3596802659
3599481044,2015-02-23 13:01,2,纯手工制作,,https://tieba.baidu.com/p/3599481044
3600653655,2015-02-24 04:13,2,冒个泡,,https://tieba.baidu.com/p/3600653655
3601258810,2015-02-24 15:22,4,这个吧确实有点冷,,https://tieba.baidu.com/p/3601258810
3601641100,2015-02-24 19:45,6,流哥好！！,,https://tieba.baidu.com/p/3601641100
3603553897,2015-02-25 20:56,25,勇敢的少年，快去创造奇迹！,,https://tieba.baidu.com/p/3603553897
3607962050,2015-02-28 06:59,14,日本人发明了一种透明的文件夹,,https://tieba.baidu.com/p/3607962050
3609660998,2015-02-28 23:55,43,无事一身轻～～,,https://tieba.baidu.com/p/3609660998
3614136733,2015-03-03 14:10,3,66666666666666昨天晚上斗鱼直播的那个游戏 叫什么名字 ？,佐证 2015-03-02,https://tieba.baidu.com/p/3614136733
3617358653,2015-03-05 07:37,4,元宵快乐。。但我吃不到元宵,,https://tieba.baidu.com/p/3617358653
3629610050,2015-03-11 16:16,5,66扎耳洞，然后今天剧痛。。。,佐证 2015-03-11,https://tieba.baidu.com/p/3629610050
3650028024,2015-03-21 15:54,1,问一下。女流最近直播的什么平台的游戏？,,https://tieba.baidu.com/p/3650028024
3654480373,2015-03-23 17:38,0,女流感上直播了。赶紧来看～,,https://tieba.baidu.com/p/3654480373
3658284989,2015-03-25 13:49,2,转贴:港版PS4开箱,佐证 2015-03-25,https://tieba.baidu.com/p/3658284989
3659557405,2015-03-26 02:50,2,【好贱！鬼畜又墨迹的章鱼新郎】黑之推荐第2期,,https://tieba.baidu.com/p/3659557405
3662753237,2015-03-27 19:11,1,66的psn到底是什么啊,,https://tieba.baidu.com/p/3662753237
3712198979,2015-04-20 10:36,6,啥时候红了的都不知道。。。,,https://tieba.baidu.com/p/3712198979
3713531707,2015-04-20 22:22,4,我就是来问问大家这个是什么游戏,佐证 2015-04-20,https://tieba.baidu.com/p/3713531707
3715596345,2015-04-21 22:21,0,【循环走廊，无处可躲藏】黑玩怕怕第7期,,https://tieba.baidu.com/p/3715596345
3717602773,2015-04-22 21:44,2,有么有人玩魔力啊~？,,https://tieba.baidu.com/p/3717602773
3718971670,2015-04-23 15:26,1,【一位手残人士的升级之旅】黑之推荐第6期,,https://tieba.baidu.com/p/3718971670
3724424524,2015-04-26 02:57,0,前天还是大前天66预告说有个手游,,https://tieba.baidu.com/p/3724424524
3725591049,2015-04-26 17:36,8,女流淘宝商家合作伙伴前来探班,,https://tieba.baidu.com/p/3725591049
3726358684,2015-04-26 23:28,1,推荐给女流的游戏,,https://tieba.baidu.com/p/3726358684
3727220108,2015-04-27 12:52,4,66现在还在斗鱼上直播吗？,佐证 2015-04-28,https://tieba.baidu.com/p/3727220108
3730445927,2015-04-28 22:17,3,问一个游戏,,https://tieba.baidu.com/p/3730445927
3737912679,2015-05-02 16:00,7,我居然看到吧里有人叫女流阿姨……,,https://tieba.baidu.com/p/3737912679
3750670574,2015-05-08 17:43,1,这次66去霓虹微博发的照片，有没有人全部保存下来,,https://tieba.baidu.com/p/3750670574
3754448934,2015-05-10 13:09,6,吧里有打暗黑三的么？,,https://tieba.baidu.com/p/3754448934
3763392456,2015-05-14 19:16,1,66刚刚播雷曼传奇水下那关的音乐有谁有吗,佐证 2015-05-14,https://tieba.baidu.com/p/3763392456
3780268425,2015-05-22 23:10,5,没人录直播是为什么,,https://tieba.baidu.com/p/3780268425
3786333311,2015-05-25 21:42,3,女流我爱你！！！！！！,,https://tieba.baidu.com/p/3786333311
3795720563,2015-05-30 14:26,0,灌水,,https://tieba.baidu.com/p/3795720563
3798386551,2015-05-31 20:13,9,流感新人    前来报到,,https://tieba.baidu.com/p/3798386551
3802504951,2015-06-02 21:34,22,【外交】关于最近某位黑粉,,https://tieba.baidu.com/p/3802504951
3807322250,2015-06-05 09:58,2,昨天看66直播，大约七点她说她那里已经11点了,佐证 2015-06-04,https://tieba.baidu.com/p/3807322250
3809036054,2015-06-06 01:21,2,女流过年的时候有和其他解说一起做过视频么？,,https://tieba.baidu.com/p/3809036054
3809330730,2015-06-06 09:25,12,成败在此一举,,https://tieba.baidu.com/p/3809330730
3810452571,2015-06-06 19:30,15,闲的无聊下了款可以去掉PS效果的软件,,https://tieba.baidu.com/p/3810452571
3814514714,2015-06-08 17:40,12,考完了，谢谢大家的祝福,,https://tieba.baidu.com/p/3814514714
3890035389,2015-07-13 01:01,319,开个贴把收集到66歌单整理一下，一俩天内更完，欢迎补充~,佐证 2015-09-03、2015-11-02；歌单整理帖（跨 07-13～11-11）,https://tieba.baidu.com/p/3890035389
3900753504,2015-07-17 15:48,16,今天是什么节奏...,佐证 2015-07-17,https://tieba.baidu.com/p/3900753504
3901669463,2015-07-17 22:51,16,真心告白 千万别水,,https://tieba.baidu.com/p/3901669463
3901735690,2015-07-17 23:19,5,女流在招募视频后期团队,,https://tieba.baidu.com/p/3901735690
3902068177,2015-07-18 05:31,7,有没有觉得很像女流,,https://tieba.baidu.com/p/3902068177
3902698103,2015-07-18 13:00,5,发段别人整理过的我6的直播,,https://tieba.baidu.com/p/3902698103
3902996196,2015-07-18 15:30,2,今天几点来,佐证 2015-07-18,https://tieba.baidu.com/p/3902996196
3906010938,2015-07-19 21:30,11,淘宝买多少钱有签名照啊！！！！！,,https://tieba.baidu.com/p/3906010938
3906929795,2015-07-20 10:17,7,女流的店没客服吗……,,https://tieba.baidu.com/p/3906929795
3907446952,2015-07-20 14:13,32,完了 老婆要被抢了,,https://tieba.baidu.com/p/3907446952
3909799507,2015-07-21 13:51,11,哈哈，这屁股不明觉厉,,https://tieba.baidu.com/p/3909799507
3911163902,2015-07-21 23:44,4,真希望66加入手残联萌，有没有和我一样想法的？,,https://tieba.baidu.com/p/3911163902
3911945852,2015-07-22 11:38,4,女流玩mc是用什么联机的？,,https://tieba.baidu.com/p/3911945852
3912624992,2015-07-22 16:40,114,这一幕让我瞬间相信爱情,佐证 2015-07-22,https://tieba.baidu.com/p/3912624992
3912669965,2015-07-22 16:59,5,粉丝进！！！！,,https://tieba.baidu.com/p/3912669965
3912682132,2015-07-22 17:04,2,泪目,,https://tieba.baidu.com/p/3912682132
3912716113,2015-07-22 17:18,5,下午的视频有人录么？,,https://tieba.baidu.com/p/3912716113
3912726919,2015-07-22 17:22,0,小桀你个怂逼！,,https://tieba.baidu.com/p/3912726919
3912764035,2015-07-22 17:39,15,希望水友们不要好心办坏事~~,,https://tieba.baidu.com/p/3912764035
3912799867,2015-07-22 17:56,1,女流的我的世界服务器怎么连啊,,https://tieba.baidu.com/p/3912799867
3913716584,2015-07-23 00:58,16,错过了今天下午 谁有弹幕完整版的,,https://tieba.baidu.com/p/3913716584
3914789475,2015-07-23 14:45,4,球球大作战   UP主:66loveslife,,https://tieba.baidu.com/p/3914789475
3914935769,2015-07-23 15:48,6,来一波水彩66~~~~,,https://tieba.baidu.com/p/3914935769
3915112640,2015-07-23 16:58,8,我可不可以问女流玩我的世界服务器的IP地址,,https://tieba.baidu.com/p/3915112640
3915180136,2015-07-23 17:24,19,有没有一起玩的啊,,https://tieba.baidu.com/p/3915180136
3917125630,2015-07-24 13:22,1,为什么66粉丝群不允许任何人加入啊。,,https://tieba.baidu.com/p/3917125630
