date,weekday,status,archive_entries,entry_titles,evidence,bounded_recordings_possible,note
2015-01-05,周一,video-only,"2015-01-05-video-01(video,replay)",【女流】90秒作画大挑战,,,
2015-01-09,周五,video-only,"2015-01-09-video-01(video,replay)",【女流】小小大星球试玩解说,,,
2015-01-15,周四,video-only,"2015-01-15-video-01(video,replay)",【女流】巩固我FPS女王的地位,,,
2015-01-18,周日,video-only,"2015-01-18-video-01(video,replay)",【女流】小小大星球3探索之旅,,,
2015-01-21,周三,entry-with-replay,"2015-01-21-live-01(live,replay)",重启之后还是一条好汉,tieba 3541217131 15:34 正在直播,,
2015-01-22,周四,entry-with-replay,"2015-01-22-live-01(live,replay)",女流的小游戏时间,,,
2015-01-23,周五,entry-with-replay,"2015-01-23-video-01(video,replay);2015-01-23-live-01(live,replay)",【女流】大金刚热带雨林勇斗马达加斯加企鹅;女流之萌音加节奏,room-snapshot 2015-01-24 10:56 thumb 2015-01-23 19:34 | room-snapshot 2015-01-24 10:58 thumb 2015-01-23 19:34 | room-snapshot 2015-01-24 12:14 thumb 2015-01-23 19:34 | tieba 3544895785 16:29 问现在直播的游戏→Lumino City; 3545364854 21:06,,
2015-01-24,周六,reported-or-probable,,,tieba 3546985847 19:20「主播特写」第一集（截图衣着同 01-23，不是 01-24 开播证据）,,
2015-01-26,周一,entry-no-replay,"2015-01-26-live-01(live,no-replay)",I Wanna（版本未定）,tieba 3550944499 20:26「主播特写」第二集，浅蓝毛衣截图 8 张；ac1733926 片尾「昨天的存储点」（I Wanna）,,
2015-01-27,周二,entry-with-replay,"2015-01-27-live-01(live,replay)",小游戏直播 I wanna be the xylem,tieba 3552806473 19:55「主播特写」第三集，青绿 V 领；ac1733926 时钟 16:42 2015/1/27,,
2015-01-29,周四,entry-with-replay,"2015-01-29-live-01(live,replay)",重温变态人生的大冒险，卒,youku 瓦塔诺GO「女流斗鱼直播录像 - 20150129」256 分钟整场（音频对齐）,,
2015-01-30,周五,entry-with-replay,"2015-01-30-video-01(video,replay);2015-01-30-live-01(live,replay)",[无剪辑]独立游戏I'm scared实况录像;直播标题已遗失,youku 瓦塔诺GO「女流斗鱼直播录像 - 20150130」189 分钟，片尾「周末愉快…周一见」,,2015-01-30-video-01（I'm scared）实为 01-29 直播片段
2015-02-02,周一,entry-with-replay,"2015-02-02-live-01(live,replay)",女流的第一千次死亡,tieba 3563732365 18:37「主播特写」第五集，深灰卫衣；ac1719337 时钟 15:35 2015/2/2,,
