vid,upload_cst,duration,title,status,archive_entry,note
XNTE1NDc4NDU4NA==,2021-05-15 13:40,06:07,【女流】绿林侠盗：你们就是羡慕有我这么好的姐姐,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTE1NDM3NDcyOA==,2021-05-14 16:34,07:38,【女流】生化危机：来自生化危机最大势力之主的夸奖,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTE1MzQ2Mjg2OA==,2021-05-13 11:11,06:05,【女流】看我无敌剪刀脚！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTE1MTk3MzMzNg==,2021-05-10 19:06,06:58,【女流】马里奥派对：与菠菠同为基金人的默契,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTE1MDk4MzU0MA==,2021-05-08 20:36,09:43,【女流】生化危机8初体验,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTE1MDQyNTQwOA==,2021-05-07 20:26,07:18,【女流】上课了，同学们要认真听讲哦！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTE0OTg2MzkwOA==,2021-05-06 19:53,08:18,【女流】菠萝赛东：休怪我手下不留情啊66,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTE0NzQ4MzIyNA==,2021-05-01 14:37,05:50,【女流】八球天后拿捏石大壮,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTE0NjA1MjAzMg==,2021-04-28 18:33,27:35,【女流】心灵砒霜：这就是天文人含蓄的浪漫,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTE0NTU1Mjk2NA==,2021-04-27 20:02,05:27,【女流】永劫无间：阿凡达小分队出击！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTE0NDQyNzg5Ng==,2021-04-25 18:02,12:44,【女流】Monster Boy：完结撒花,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTE0MjkwMTcyOA==,2021-04-22 19:45,25:27,【女流】心灵砒霜：女性的爱是无微不至的关怀,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTE0MDQ0NDE5Ng==,2021-04-18 13:53,08:42,"【女流】鬼谷八荒：本命""BUFF""助我化神",精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEzOTYwODg4MA==,2021-04-16 19:52,07:17,【女流】鬼谷八荒：修真路上千万小心“女魔头”,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEzODM3MDYxNg==,2021-04-14 19:00,05:12,【女流】都是基于现实的合理改编,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEzNzc2MDI3Mg==,2021-04-13 18:48,23:07,【女流】心灵砒霜：网聊需谨慎,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEzNjA2NjA0OA==,2021-04-10 17:59,08:13,【女流】怪物猎人：佣人回家了，关门放“大哥“,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEzNTUxNDk1Ng==,2021-04-09 18:31,08:16,【女流】怪物猎人：猎人的基本素质是百折不挠,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEzNDMxNDkyMA==,2021-04-07 17:51,06:16,【女流】怪物猎人：穷寇要追啊,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEzMzc2OTM0NA==,2021-04-06 18:35,05:11,【女流】察言观色的世界，这是情商和礼貌。,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEyOTQ5NjI2OA==,2021-03-29 17:57,06:56,【女流】怪物猎人：“六岁就打猎”出生,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEyODQyNzEwNA==,2021-03-27 18:11,05:37,【女流】绝地求生：吃鸡就是如此的轻松,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEyNzI3NDE4NA==,2021-03-25 17:51,06:19,【女流】绝地求生：熊熊会保护你的哦,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEyNjczMjM2MA==,2021-03-24 19:19,26:05,【女流】心灵砒霜：男孩子在外边也要保护好自己,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEyNTU1ODA2NA==,2021-03-22 18:31,09:21,【女流】Hades：进攻才是最好的防守,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEyNDk5OTQ3Mg==,2021-03-21 18:04,06:10,【女流】Hades：自此宣布我“无敌”了,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEyMzk1NzYyOA==,2021-03-19 17:12,20:59,【女流】心灵砒霜：恋爱小剧场也是需要剧本的,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEyMzQxMjkyOA==,2021-03-18 18:16,19:11,【女流】心灵砒霜：沟通的艺术在于适当的肯定对方,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEyMjc3OTIyMA==,2021-03-17 17:35,07:01,【女流】CSGO躲猫猫: 原来你也是大佬啊,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEyMjE4NTk5Mg==,2021-03-16 17:19,06:29,【女流】CSGO躲猫猫：这地图不是谁玩谁无敌吗！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEyMTU1MzI2MA==,2021-03-15 17:09,04:58,【女流】大富翁10：运气的对决！到底谁能笑到最后？,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTExOTkyMDQxMg==,2021-03-12 16:58,25:38,【女流】心灵砒霜：无知是盲目自信的根源,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTExOTM0MzA0NA==,2021-03-11 17:36,08:42,【女流】ALTF4：一个骑士背鸡的故事,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTExNTY1NTgwMA==,2021-03-06 18:00,28:50,【女流】心灵砒霜：64亿公里处的最后一次回眸,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTExNTM1Njk3Mg==,2021-03-05 11:26,04:59,【女流】开启戴森球计划的目的就是为了炖羊肉,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTExNDE2OTQ0MA==,2021-03-03 18:00,06:05,【女流】节奏医生：什么叫音游大师啊！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEwOTE4MzI4NA==,2021-02-23 18:14,09:48,【女流】马里奥3D世界：人多力量大不大呢,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEwNjUxMzEyOA==,2021-02-19 18:10,10:53,【女流】绝地求生英语四级考试 Clear！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTEwNTgxNDc2OA==,2021-02-18 16:47,08:11,【女流】女巫来了：给你一年的时间，你也找不到我,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA5ODk2NDA2MA==,2021-02-10 18:00,27:02,【女流】心灵砒霜：蔗学入门,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA5ODg5MjcyOA==,2021-02-08 18:10,35:50,【女流】心灵砒霜：明天永不来,精剪短片·非完整录像,,心灵砒霜精选，非完整录像
XNTA5ODkzMDE3Mg==,2021-02-06 18:00,28:36,【女流】心灵砒霜：和“马大爷”的沟通技巧,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA5NzA0MDY1Mg==,2021-02-04 10:01,20:18,【女流】心灵砒霜：明天永不会来,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
