vid,class,c_time,duration,title,note
XMTM2MDQzMzcyMA==,2,,,"女流【心灵砒霜】10.11直播录像",本轮已并入 2015-10-11-live-01
XMTM2MTU4Mzg4NA==,6,,,"【女流实况】逆转裁判：复苏的逆转第二章P1",纯视频候选，缺 c_time
XMTM2NjkxMTE2OA==,6,,,"【女流实况】逆转裁判：复苏的逆转第二章P2",纯视频候选，缺 c_time
XMTQyMjExMTk1Mg==,4,,,"【女流直播生放送】Rusty Lake生锈小湖Hotel新章实况录像",标题含直播/生放送/全集，事件日待定
XMTI1NzkyMTE3Mg==,4,,,"【解密佳作】逃脱方块：四季女流直播录像",标题含直播/生放送/全集，事件日待定
XMjY1MDEwMTkxNg==,6,,,"【女流】伊森卡特的消失Part3of3",纯视频候选，缺 c_time
XMjY0MDg4MTIxNg==,6,,,"【女流】伊森卡特的消失Part2of3",纯视频候选，缺 c_time
XMjY0MDg2MjI4OA==,6,,,"【女流】伊森卡特的消失Part1of3",纯视频候选，缺 c_time
XMjUyMTY5MzQwOA==,6,,,"【几何冲刺】女流Clutterfunk关过关视频",纯视频候选，缺 c_time
XMjUwMDk2MjUzMg==,6,,,"【女流】粉丝制作：66直播两周年快乐",纯视频候选，缺 c_time
XMjQ4MjgyNDExNg==,6,,,"【女流】心灵砒霜玄学砒霜",纯视频候选，缺 c_time
XMjQ4MjgyNDQ5Mg==,6,,,"【女流】女流教你怎么尬聊",纯视频候选，缺 c_time
XMTg4OTQ2NDc0NA==,6,,,"【女流】心灵砒霜精选毒舌6",纯视频候选，缺 c_time
XMTg4MzQ0NjU2MA==,6,,,"女流【心灵砒霜】大家圣诞快乐呀！",纯视频候选，缺 c_time
XMTg3NDk3NzM2MA==,6,,,"【女流】Event[0]游戏通关解说",纯视频候选，缺 c_time
XMTg3NDk5NTM5Mg==,6,,,"女流【心灵砒霜】得病之后的砒霜额外毒",纯视频候选，缺 c_time
XMTg2MDQ3OTk2MA==,6,,,"女流【心灵砒霜】家谱附录曝光：事已至此",纯视频候选，缺 c_time
XMjM3NDIxNjA0NA==,5,,,"校花前传之很纯很暧昧 08",他人内容，出现在指定播单里
XMTYzMDUzNDM2MA==,4,,,"【女流】Inside全收集通关解说全集解锁隐藏结局",标题含直播/生放送/全集，事件日待定
XMTYzMjA0NjkyMA==,6,,,"【女流】Inside全收集通关解说★全成就解锁隐藏结局★Part2",纯视频候选，缺 c_time
XMTYzNTM4MjkwOA==,6,,,"【女流】Inside全收集通关解说★全成就解锁隐藏结局★Part 3",纯视频候选，缺 c_time
XMTM2NTYxODQ2MA==,4,,,"【mc六则天】第五届女流杯建筑大赛",第五届；vid 单调性夹逼上传窗口 2015-10-09~2015-10-28（task-039）
XMTMyODE4OTg2OA==,4,,,"【mc六则天】第四届女流杯建筑大赛",第四届；vid 单调性夹逼上传窗口 2015-08-25~2015-10-09（task-039）
XMTMxOTAxMzM4OA==,4,,,"【mc六则天】第三届女流杯建筑大赛",第三届；上传 2015-08-25；与 vid 夹逼窗口一致（task-039）
XMTMwMjk2MTgxNg==,4,,,"【mc六则天】第二届女流杯建筑大赛",第二届；存档页 2015-08-12 已存在；vid 单调性夹逼上传窗口 2015-07-31~2015-08-13（task-039）
XMTMzNDcwNTYzNg==,6,,,"【女流】HER STORY终极剪辑版 ★她的故事★时间顺序排列无配音",纯视频候选，缺 c_time
XMTI5NzY4MjU4NA==,4,2015-07-31 09:17:14,187:06,"【mc六则天】第一届女流杯建筑大赛",第一届女流杯建筑大赛；专辑 26057703
XMTMwODkzMTMzNg==,2,2015-08-13 21:19:03,,"【女流】HER STORY ★她的故事★全剧情流程赏析Part 1",本轮已并入 2015-08-13-video-01
XMTM1NTc0OTY0NA==,2,2015-10-09 16:53:27,,"【女流实况】逆转裁判：复苏的逆转第一章",本轮已并入 2015-10-09-video-01
XMTM3MTg0NjY1Ng==,2,2015-10-28 17:58:31,,"女流【心灵砒霜】10.25直播录像",本轮已并入 2015-10-25-live-01
XMTM3MjQ4MTA1Ng==,4,2015-10-29 16:34:01,,"【女流直播生放送】传说之下Undertale高评分游戏P1",标题含直播/生放送/全集，事件日待定
XMTM3MjYxOTQ5Mg==,4,2015-10-29 18:49:08,,"【女流直播生放送】传说之下Undertale高评分游戏P2",标题含直播/生放送/全集，事件日待定
XMTM3MzM5NzgyMA==,4,2015-10-30 17:24:09,,"【女流直播生放送】传说之下Undertale高评分游戏P3",标题含直播/生放送/全集，事件日待定
XMTM3NTgzNjk3Mg==,4,2015-11-02 17:50:12,,"【女流直播生放送】传说之下Undertale高评分游戏P4",标题含直播/生放送/全集，事件日待定
XMTM3NjA5Njk0NA==,4,2015-11-02 20:59:10,,"【女流直播生放送】传说之下Undertale高评分游戏P5",标题含直播/生放送/全集，事件日待定
XMTM3NjY1MDc3Mg==,2,2015-11-03 19:49:26,,"女流【心灵砒霜】10.30直播录像",本轮已并入 2015-10-30-live-01
XMTUxMzY0MzA4NA==,4,2016-03-27 14:22:28,,"【女流直播生放送】Rusty Lake生锈小湖Birthday新章实况录像",标题含直播/生放送/全集，事件日待定
XMTUzMzQ2NDU0NA==,4,2016-04-13 16:03:57,,"【女流直播生放送】Rusty Lake生锈小湖之剧院",标题含直播/生放送/全集，事件日待定
