entry_id,title,duration_min,existing_urls,candidate_url,candidate_title,assessment,existing_candidate_entry_ids
2018-10-21-live-01,【女流直播】心灵砒霜  P1 2018.10.21,175,https://v.douyu.com/show/NVm0WKpQE2PvJeBP,https://www.bilibili.com/video/BV1St411o7Pm,女流-2018.10.21-心灵砒霜,候选：标题与分P元数据对应，未验证逐P播放和内容连续性,
2018-10-21-live-01,【女流直播】心灵砒霜  P1 2018.10.21,175,https://v.douyu.com/show/NVm0WKpQE2PvJeBP,https://www.acfun.cn/v/ac4204303,女流-2018.10.21-三周年游戏混剪（007）,排除：游戏混剪，不是砒霜全场,
2019-01-30-live-01,【女流直播】 勇者斗恶龙创世小玩家 P12019.1.30,225,https://v.douyu.com/show/8KxjMd88OPYMVLwb,,,本次两个目录按日期未命中；不代表全网无源,
2019-06-14-live-01,【女流直播】 E3游戏展现场 P4 2019.6.14,32,https://v.douyu.com/show/8pa9v5OKmLqMVrqA,,,本次两个目录按日期未命中；不代表全网无源,
2019-07-23-live-01,【女流直播】 地痞街区 P1 2019.7.23,325,https://v.douyu.com/show/JmbBMkG3N6KM40XA,,,本次两个目录按日期未命中；不代表全网无源,
2019-07-24-live-01,【女流直播】《2020东京奥运》 P1 2019.7.24,388,https://v.douyu.com/show/1LDR7QDkYy8vJzx8,,,本次两个目录按日期未命中；不代表全网无源,
2019-07-27-live-01,【女流直播】 月圆之夜  P1 2019.7.27,377,https://v.douyu.com/show/mPyq7okmyE571gLY,,,本次两个目录按日期未命中；不代表全网无源,
2019-08-01-live-01,【女流直播】2019PS中国线上发布会 P12019.8.1,152,https://v.douyu.com/show/X3JzMaJyY0lWPQro,,,本次两个目录按日期未命中；不代表全网无源,
2019-08-08-live-01,【女流直播】 女流带你走进敦煌 P1 2019.8.8,61,https://v.douyu.com/show/X3JzMaJobkAWPQro,,,本次两个目录按日期未命中；不代表全网无源,
2019-08-11-live-01,【女流直播】 斗鱼超级火箭计划 P1 2019.8.11,17,https://v.douyu.com/show/XqeO74p1Bne7xywG,,,本次两个目录按日期未命中；不代表全网无源,
2019-08-14-live-01,【女流直播】牧场物语 P1 2019.8.14,296,https://v.douyu.com/show/8pa9v5OdZYpMVrqA,,,本次两个目录按日期未命中；不代表全网无源,
2019-08-16-live-01,jump king见证奇迹 2019-08-16 15点场,240,https://v.douyu.com/show/3rob7jDB0KjWgkZl,,,本次两个目录按日期未命中；不代表全网无源,
2019-08-17-live-01,【女流直播】牧场物语 P1 2019.8.17,412,https://v.douyu.com/show/aRbBv3pdrmy76PYV,,,本次两个目录按日期未命中；不代表全网无源,
2019-08-19-live-01,【女流直播】 牧场物语 P1 2019.8.19,334,https://v.douyu.com/show/Bjq4MewRQekv5Ea8,,,本次两个目录按日期未命中；不代表全网无源,
2019-08-21-live-01,【女流直播】 遗迹灰烬重生 P1 2019.8.21,231,https://v.douyu.com/show/6Aw87OpA28DMYGkg,,,本次两个目录按日期未命中；不代表全网无源,
2019-08-24-live-01,【女流直播】 遗迹灰烬重生 P1 2019.8.24,255,https://v.douyu.com/show/JmbBMkGQw8yM40XA,,,本次两个目录按日期未命中；不代表全网无源,
2019-08-26-live-01,【女流直播】 控制control P1 2019.8.26,168,https://v.douyu.com/show/Kg1VWRGgLOrvGbNA,,,本次两个目录按日期未命中；不代表全网无源,
2019-08-29-live-01,【女流直播】 境界灵压对决试玩 P1 2019.8.29,319,https://v.douyu.com/show/worZv0pGZjlvJBk3,,,本次两个目录按日期未命中；不代表全网无源,
